timestamps,TP9,AF7,AF8,TP10,Right AUX
1743563041.206,-48.828,-44.434,-41.992,-62.012,0.000
1743563041.210,-43.457,-37.598,-30.273,-54.199,0.000
1743563041.214,-55.664,-35.645,-30.273,-55.664,0.000
1743563041.218,-56.152,-40.039,-41.992,-46.875,0.000
1743563041.222,-49.316,-38.086,-34.180,-43.457,0.000
1743563041.226,-41.504,-28.809,-22.949,-51.270,0.000
1743563041.229,-34.180,-31.250,-33.203,-47.363,0.000
1743563041.233,-38.086,-41.504,-41.504,-53.711,0.000
1743563041.237,-27.832,-42.480,-33.203,-46.387,0.000
1743563041.241,-28.809,-37.598,-29.297,-22.461,0.000
1743563041.245,-33.691,-31.250,-28.809,-17.090,0.000
1743563041.249,-37.598,-28.320,-23.438,-30.762,0.000
1743563041.253,-20.020,-20.020,-18.555,-25.391,0.000
1743563041.257,-14.648,-15.137,-23.438,-21.973,0.000
1743563041.261,-27.344,-27.832,-29.297,-35.645,0.000
1743563041.265,-20.020,-34.180,-24.902,-36.621,0.000
1743563041.269,-19.531,-27.344,-25.879,-43.457,0.000
1743563041.272,-27.832,-25.391,-24.414,-39.062,0.000
1743563041.276,-38.086,-24.414,-23.438,-37.598,0.000
1743563041.280,-48.340,-26.367,-30.273,-41.504,0.000
1743563041.284,-61.035,-33.691,-30.273,-48.828,0.000
1743563041.288,-55.664,-33.691,-30.762,-63.965,0.000
1743563041.292,-42.969,-28.809,-29.785,-63.965,0.000
1743563041.296,-60.547,-28.809,-25.879,-73.730,0.000
1743563041.300,-76.172,-29.785,-21.973,-87.402,0.000
1743563041.304,-91.309,-31.250,-23.926,-96.680,0.000
1743563041.308,-95.703,-29.785,-28.320,-110.840,0.000
1743563041.312,-100.098,-27.344,-36.133,-137.695,0.000
1743563041.315,-104.004,-28.809,-34.668,-146.973,0.000
1743563041.319,-121.582,-30.762,-30.273,-149.414,0.000
1743563041.323,-143.555,-34.668,-31.738,-159.668,0.000
1743563041.327,-136.719,-34.180,-25.391,-154.297,0.000
1743563041.331,-136.230,-28.809,-28.320,-156.250,0.000
1743563041.335,-143.555,-32.227,-40.039,-162.598,0.000
1743563041.339,-140.625,-35.645,-45.410,-161.621,0.000
1743563041.343,-154.785,-38.086,-36.621,-156.250,0.000
1743563041.347,0.000,-41.016,-20.996,-147.461,0.000
1743563041.351,0.000,-39.062,-16.113,-146.484,0.000
1743563041.354,0.000,-32.227,-15.625,-138.184,0.000
1743563041.358,0.000,-31.250,-9.277,-123.535,0.000
1743563041.362,0.000,-28.320,-5.371,-103.516,0.000
1743563041.366,0.000,-34.180,-18.555,-95.215,0.000
1743563041.370,0.000,-43.945,-26.367,-86.914,0.000
1743563041.374,0.000,-33.203,-19.531,-78.613,0.000
1743563041.378,0.000,-25.879,-19.043,-71.777,0.000
1743563041.382,0.000,-34.180,-18.066,-71.289,0.000
1743563041.386,0.000,-40.527,-24.902,-73.242,0.000
1743563041.390,0.000,-30.762,-31.738,-50.293,0.000
1743563041.394,-23.926,-23.926,-20.508,-29.785,0.000
1743563041.397,-34.180,-31.738,-12.695,-28.320,0.000
1743563041.401,-26.367,-29.297,-12.207,-22.949,0.000
1743563041.405,-2.441,-20.020,-10.254,-12.695,0.000
1743563041.409,17.090,-12.695,-11.230,6.348,0.000
1743563041.413,11.719,-18.555,-18.066,18.555,0.000
1743563041.417,4.883,-26.367,-30.762,15.625,0.000
1743563041.421,9.766,-30.273,-37.109,16.113,0.000
1743563041.425,10.742,-34.180,-25.391,13.184,0.000
1743563041.429,16.602,-29.785,-17.578,5.371,0.000
1743563041.433,10.742,-27.832,-26.367,13.184,0.000
1743563041.436,5.371,-27.344,-23.926,12.695,0.000
1743563041.440,6.836,-26.855,-20.508,6.348,0.000
1743563041.444,11.230,-21.484,-29.785,11.230,0.000
1743563041.448,21.973,-20.020,-31.738,18.555,0.000
1743563041.452,17.578,-24.414,-28.320,9.766,0.000
1743563041.456,2.441,-33.691,-30.273,1.465,0.000
1743563041.460,10.254,-36.621,-37.109,10.742,0.000
1743563041.464,23.926,-32.227,-36.621,16.602,0.000
1743563041.468,17.578,-33.203,-38.086,12.207,0.000
1743563041.472,8.789,-29.297,-34.180,21.484,0.000
1743563041.476,12.207,-24.902,-34.180,36.133,0.000
1743563041.479,6.836,-28.320,-35.156,27.344,0.000
1743563041.483,2.441,-33.203,-21.973,18.555,0.000
1743563041.487,-4.395,-35.156,-22.461,16.602,0.000
1743563041.491,-3.906,-29.785,-25.391,14.648,0.000
1743563041.495,6.836,-23.438,-27.832,9.766,0.000
1743563041.499,-5.371,-27.344,-31.738,1.953,0.000
1743563041.503,-11.719,-29.785,-32.227,5.859,0.000
1743563041.507,-15.137,-32.227,-41.016,8.789,0.000
1743563041.511,-12.695,-35.156,-42.480,7.812,0.000
1743563041.515,-9.277,-27.832,-29.785,15.625,0.000
1743563041.518,-3.906,-23.926,-29.297,7.324,0.000
1743563041.522,-1.465,-29.297,-38.086,-7.812,0.000
1743563041.526,-13.184,-37.109,-30.273,-9.766,0.000
1743563041.530,4.883,-34.668,-22.949,-2.930,0.000
1743563041.534,20.020,-29.785,-28.809,0.000,0.000
1743563041.538,-1.953,-29.297,-32.227,1.465,0.000
