timestamps,TP9,AF7,AF8,TP10,Right AUX
1743045869.001,0.000,-34.180,-43.945,-36.133,0.000
1743045869.004,0.000,-33.203,-41.016,-40.039,0.000
1743045869.008,0.000,-32.227,-39.062,-45.898,0.000
1743045869.012,0.000,-32.227,-43.457,-49.805,0.000
1743045869.016,0.000,-28.320,-39.062,-41.016,0.000
1743045869.020,0.000,-27.344,-34.180,-32.227,0.000
1743045869.024,0.000,-33.203,-36.133,-33.691,0.000
1743045869.028,0.000,-33.203,-26.367,-32.227,0.000
1743045869.032,0.000,-32.715,-25.391,-24.414,0.000
1743045869.036,0.000,-37.598,-46.387,-24.414,0.000
1743045869.040,0.000,-46.875,-51.758,-28.320,0.000
1743045869.043,0.000,-44.922,-46.387,-30.762,0.000
1743045869.047,-29.785,-33.691,0.000,-25.391,0.000
1743045869.051,-28.809,-34.180,0.000,-16.602,0.000
1743045869.055,-31.250,-35.645,0.000,-23.926,0.000
1743045869.059,-25.391,-34.668,0.000,-25.391,0.000
1743045869.063,-23.438,-27.344,0.000,-24.902,0.000
1743045869.067,-23.926,-23.438,0.000,-23.438,0.000
1743045869.071,-22.949,-24.902,0.000,-17.578,0.000
1743045869.075,-28.809,-36.133,0.000,-21.484,0.000
1743045869.079,-25.879,-41.992,0.000,-12.695,0.000
1743045869.083,-21.973,-39.551,0.000,-14.160,0.000
1743045869.086,-29.297,-39.551,0.000,-28.320,0.000
1743045869.090,-33.691,-35.156,0.000,-38.086,0.000
1743045869.094,0.000,-27.832,-36.621,-39.062,0.000
1743045869.098,0.000,-29.297,-28.809,-38.574,0.000
1743045869.102,0.000,-30.762,-32.715,-44.922,0.000
1743045869.106,0.000,-30.273,-39.062,-33.203,0.000
1743045869.110,0.000,-32.227,-23.438,-18.066,0.000
1743045869.114,0.000,-28.809,-18.555,-16.602,0.000
1743045869.118,0.000,-26.367,-27.344,-15.625,0.000
1743045869.122,0.000,-27.344,-37.598,-16.602,0.000
1743045869.126,0.000,-30.273,-38.574,-21.973,0.000
1743045869.129,0.000,-28.809,-33.691,-24.414,0.000
1743045869.133,0.000,-20.996,-33.203,-25.391,0.000
1743045869.137,0.000,-21.973,-33.691,-27.344,0.000
1743045869.141,-24.414,-32.715,-29.785,-23.438,0.000
1743045869.145,-32.715,-38.574,-27.344,-16.602,0.000
1743045869.149,-32.227,-36.621,-28.809,-21.484,0.000
1743045869.153,-28.809,-29.785,-21.973,-24.902,0.000
1743045869.157,-23.926,-20.508,-25.879,-21.484,0.000
1743045869.161,-25.391,-22.461,-41.016,-29.297,0.000
1743045869.165,-22.461,-23.438,-46.875,-23.926,0.000
1743045869.169,-18.555,-26.855,-45.410,-16.602,0.000
1743045869.172,-15.625,-26.855,-36.621,-24.414,0.000
1743045869.176,-14.160,-20.508,-31.250,-26.855,0.000
1743045869.180,-19.043,-26.367,-29.297,-25.391,0.000
1743045869.184,-20.508,-28.809,-22.461,-27.344,0.000
