timestamps,TP9,AF7,AF8,TP10,Right AUX
1743563423.268,-21.973,-26.367,-41.016,-36.133,0.000
1743563423.272,-27.832,-23.926,-36.621,-28.809,0.000
1743563423.276,-27.344,-22.461,-40.527,-29.785,0.000
1743563423.280,-22.949,-25.391,-42.969,-33.203,0.000
1743563423.284,-21.973,-30.762,-43.457,-36.133,0.000
1743563423.287,-26.367,-32.715,-39.062,-32.227,0.000
1743563423.291,-32.715,-34.668,-39.062,-34.668,0.000
1743563423.295,-41.016,-38.574,-44.434,-41.504,0.000
1743563423.299,-35.156,-39.551,-41.992,-37.109,0.000
1743563423.303,-34.668,-41.504,-36.621,-33.203,0.000
1743563423.307,-36.621,-38.086,-36.133,-30.273,0.000
1743563423.311,-35.645,-32.227,-38.086,-33.691,0.000
1743563423.311,-35.645,-32.227,-38.086,-33.691,0.000
1743563423.315,-36.133,-30.273,-42.480,-33.691,0.000
1743563423.319,-24.902,-32.715,-41.992,-35.645,0.000
1743563423.323,-18.555,-30.762,-38.086,-30.273,0.000
1743563423.327,-24.902,-35.156,-43.945,-24.414,0.000
1743563423.330,-29.785,-40.527,-44.434,-30.762,0.000
1743563423.334,-25.391,-32.227,-38.086,-21.484,0.000
1743563423.338,-24.902,-28.809,-39.551,-15.137,0.000
1743563423.342,-27.344,-30.762,-38.086,-21.484,0.000
1743563423.346,-25.879,-29.297,-33.203,-18.555,0.000
1743563423.350,-19.531,-23.438,-38.086,-20.508,0.000
1743563423.354,-14.160,-21.973,-44.922,-25.879,0.000
1743563423.358,-15.625,-24.902,-43.945,-22.949,0.000
1743563423.362,-12.695,-29.785,-41.992,-22.949,0.000
1743563423.366,-20.508,-30.762,-45.410,-29.785,0.000
1743563423.369,-21.484,-28.809,-42.969,-31.738,0.000
1743563423.373,-21.973,-30.273,-41.992,-34.668,0.000
1743563423.377,-28.320,-28.809,-40.039,-36.133,0.000
1743563423.381,-23.926,-25.879,-29.297,-30.273,0.000
1743563423.385,-22.949,-29.785,-35.156,-28.320,0.000
1743563423.389,-34.180,-34.668,-40.039,-37.109,0.000
1743563423.393,-37.598,-38.086,-36.621,-39.062,0.000
1743563423.397,-34.668,-36.133,-35.645,-38.574,0.000
1743563423.401,-37.598,-33.691,-34.668,-35.156,0.000
1743563423.405,-36.133,-35.645,-35.645,-35.645,0.000
1743563423.409,-33.203,-34.180,-36.133,-38.086,0.000
1743563423.412,-35.645,-33.203,-38.574,-34.180,0.000
1743563423.416,-33.691,-34.668,-37.598,-37.598,0.000
1743563423.420,-31.738,-31.250,-35.156,-38.574,0.000
1743563423.424,-38.086,-33.691,-35.156,-38.574,0.000
1743563423.428,-41.016,-36.133,-34.668,-37.109,0.000
1743563423.432,-35.645,-34.668,-35.645,-35.156,0.000
1743563423.436,-32.715,-36.621,-38.086,-36.621,0.000
1743563423.440,-31.250,-36.133,-41.992,-32.715,0.000
1743563423.444,-30.762,-32.227,-45.410,-27.344,0.000
1743563423.448,-31.738,-32.227,-42.969,-25.879,0.000
1743563423.451,-29.785,-32.715,-41.992,-30.273,0.000
1743563423.455,-31.738,-29.297,-38.086,-34.668,0.000
1743563423.459,-35.156,-26.855,-35.156,-26.367,0.000
1743563423.463,-36.133,-27.344,-34.180,-27.344,0.000
1743563423.467,-34.180,-29.297,-31.250,-34.668,0.000
1743563423.471,-27.832,-28.809,-23.926,-36.133,0.000
1743563423.475,-26.367,-28.809,-23.926,-39.551,0.000
1743563423.479,-31.738,-31.738,-29.785,-35.156,0.000
1743563423.483,-26.855,-26.367,-28.809,-25.879,0.000
1743563423.487,-25.879,-21.484,-32.227,-31.738,0.000
1743563423.491,-36.133,-28.320,-31.250,-29.785,0.000
1743563423.494,-40.527,-32.227,-24.902,-28.809,0.000
1743563423.498,-43.457,-31.738,-24.414,-29.297,0.000
1743563423.502,-40.527,-32.715,-17.578,-27.832,0.000
1743563423.506,-34.668,-32.227,-14.648,-24.414,0.000
1743563423.510,-39.062,-34.668,-24.414,-21.973,0.000
1743563423.514,-41.992,-32.227,-23.926,-22.461,0.000
1743563423.518,-32.715,-31.250,-26.367,-21.973,0.000
1743563423.522,-31.250,-35.156,-35.156,-26.367,0.000
1743563423.526,-36.621,-37.109,-35.156,-27.832,0.000
1743563423.530,-34.180,-34.668,-33.203,-24.902,0.000
1743563423.533,-28.809,-29.297,-27.344,-22.949,0.000
1743563423.537,-26.367,-28.809,-27.832,-27.344,0.000
1743563423.541,-23.438,-37.109,-32.715,-28.320,0.000
1743563423.545,-21.484,-37.598,-30.273,-25.879,0.000
1743563423.549,-23.926,-31.738,-34.180,-35.645,0.000
1743563423.553,-28.320,-30.762,-36.133,-34.180,0.000
1743563423.557,-26.855,-30.762,-32.715,-34.668,0.000
1743563423.561,-30.273,-34.668,-33.691,-31.738,0.000
1743563423.565,-38.574,-38.086,-34.668,-30.273,0.000
1743563423.569,-39.551,-33.691,-28.320,-31.738,0.000
1743563423.573,-33.691,-30.762,-23.926,-27.344,0.000
1743563423.576,-36.133,-35.156,-34.180,-35.645,0.000
1743563423.580,-34.668,-32.227,-36.133,-32.227,0.000
1743563423.584,-30.273,-32.227,-32.227,-28.320,0.000
1743563423.588,-27.344,-29.297,-26.367,-31.738,0.000
1743563423.592,-25.391,-31.738,-26.367,-21.484,0.000
1743563423.596,0.000,-32.227,-28.809,-17.090,0.000
1743563423.600,0.000,-30.273,-25.879,-22.461,0.000
1743563423.604,0.000,-29.297,-21.484,-16.602,0.000
1743563423.608,0.000,-23.926,-23.926,-17.090,0.000
1743563423.612,0.000,-30.273,-31.250,-28.809,0.000
1743563423.616,0.000,-33.691,-30.762,-28.809,0.000
1743563423.619,0.000,-29.785,-33.203,-29.297,0.000
1743563423.623,0.000,-30.762,-37.598,-33.203,0.000
1743563423.627,0.000,-33.691,-36.133,-31.738,0.000
1743563423.631,0.000,-39.062,-37.598,-37.598,0.000
1743563423.635,0.000,-38.086,-40.039,-41.992,0.000
1743563423.639,0.000,-30.273,-35.156,-38.086,0.000
1743563423.643,-31.738,-31.250,-35.645,-37.109,0.000
1743563423.647,-26.855,-27.344,-38.086,-33.691,0.000
1743563423.651,-22.461,-22.461,-37.109,-34.668,0.000
1743563423.655,-24.414,-24.414,-37.109,-38.574,0.000
1743563423.659,-22.949,-23.926,-34.668,-32.227,0.000
1743563423.662,-24.414,-31.250,-31.738,-39.062,0.000
1743563423.666,-29.297,-32.227,-33.203,-41.992,0.000
1743563423.670,-38.086,-27.832,-33.203,-35.645,0.000
1743563423.674,-42.480,-27.344,-36.133,-41.016,0.000
1743563423.678,-41.504,-32.715,-37.109,-41.504,0.000
1743563423.682,-35.645,-34.180,-32.227,-41.016,0.000
1743563423.686,-34.180,-26.855,-26.367,-31.738,0.000
1743563423.690,-38.086,-26.367,-30.762,-24.902,0.000
1743563423.694,-35.156,-31.250,-34.180,-30.273,0.000
1743563423.698,-32.715,-31.738,-33.203,-34.668,0.000
1743563423.701,-37.109,-29.785,-33.203,-29.297,0.000
1743563423.705,-37.109,-23.926,-30.273,-23.926,0.000
1743563423.709,-32.227,-20.996,-24.414,-20.996,0.000
1743563423.713,-27.344,-25.879,-27.832,-20.020,0.000
