timestamps,TP9,AF7,AF8,TP10,Right AUX
1743045417.803,-25.879,-31.738,-17.578,-19.531,0.000
1743045417.807,-26.855,-25.391,-22.949,-28.809,0.000
1743045417.811,-19.531,-14.648,-17.090,-34.180,0.000
1743045417.815,-17.578,-11.719,-19.043,-23.926,0.000
1743045417.819,-26.367,-24.902,-20.996,-17.090,0.000
1743045417.823,-35.156,-34.180,-29.785,-30.273,0.000
1743045417.827,-32.715,-29.297,-37.109,-32.715,0.000
1743045417.831,-28.320,-29.785,-25.391,-29.297,0.000
1743045417.835,-35.645,-34.180,-22.949,-35.156,0.000
1743045417.839,-32.715,-33.203,-22.461,-24.414,0.000
1743045417.843,-38.086,-28.320,-22.461,-25.391,0.000
1743045417.846,-32.715,-28.320,-30.762,-21.973,0.000
1743045417.850,-30.762,-28.320,-28.320,-12.695,0.000
1743045417.854,-35.645,-24.902,-20.996,-17.578,0.000
1743045417.858,-27.344,-31.738,-11.230,-18.555,0.000
1743045417.862,-25.879,-31.738,-18.066,-21.484,0.000
1743045417.866,-22.461,-26.367,-24.902,-23.438,0.000
1743045417.870,-25.879,-31.250,-18.066,-18.555,0.000
1743045417.874,-35.156,-36.621,-31.250,-14.160,0.000
1743045417.878,-37.598,-36.133,-40.039,-18.066,0.000
1743045417.882,-41.992,-32.715,-36.133,-23.926,0.000
1743045417.885,-44.434,-30.273,-55.176,-33.691,0.000
1743045417.889,-26.855,-22.461,-79.590,-18.555,0.000
1743045417.893,-18.555,-20.996,-73.730,-8.789,0.000
1743045417.897,-20.508,-24.414,-59.570,-20.508,0.000
1743045417.901,-35.645,-30.273,-57.129,-27.344,0.000
1743045417.905,-47.363,-33.203,-50.293,-33.691,0.000
1743045417.909,-46.387,-29.297,-43.945,-29.297,0.000
1743045417.913,-44.922,-32.227,-37.598,-20.020,0.000
1743045417.917,-45.898,-36.621,-29.785,-21.973,0.000
1743045417.921,-58.105,-39.062,-36.133,-32.715,0.000
1743045417.925,-57.617,-34.180,-40.527,-36.133,0.000
1743045417.928,-40.527,-30.762,-30.762,-41.016,0.000
1743045417.932,-43.457,-32.715,-24.414,-46.387,0.000
1743045417.936,-44.434,-29.785,-17.090,-39.551,0.000
1743045417.940,-32.715,-34.668,-18.555,-34.668,0.000
1743045417.944,-18.555,-35.645,-25.391,-22.949,0.000
1743045417.948,-20.020,-32.715,-27.832,-11.230,0.000
1743045417.952,-37.109,-36.621,-23.438,-22.461,0.000
1743045417.956,-40.527,-41.016,-17.578,-29.297,0.000
1743045417.960,-47.852,-37.109,-19.043,-28.809,0.000
1743045417.964,-41.016,-36.133,-17.090,-27.344,0.000
1743045417.968,-25.879,-40.527,-12.695,-23.926,0.000
1743045417.971,-41.992,-42.969,-21.973,-22.461,0.000
1743045417.975,-40.039,-33.691,-23.438,-21.484,0.000
1743045417.979,-20.996,-28.320,-15.137,-28.809,0.000
1743045417.983,-14.160,-32.715,-14.648,-29.785,0.000
1743045417.987,-16.602,-31.738,-10.742,-20.508,0.000
1743045417.991,-24.902,-24.414,0.000,-15.625,0.000
1743045417.995,-26.367,-25.391,0.000,-25.879,0.000
1743045417.999,-27.832,-36.133,0.000,-30.273,0.000
1743045418.003,-21.973,-40.039,0.000,-25.879,0.000
1743045418.007,-40.039,-33.691,0.000,-31.250,0.000
1743045418.010,-48.828,-29.297,0.000,-27.344,0.000
1743045418.014,-36.621,-38.574,0.000,-18.066,0.000
1743045418.018,-43.945,-41.016,0.000,-17.090,0.000
1743045418.022,-44.922,-30.273,0.000,-20.020,0.000
1743045418.026,-30.273,-18.066,0.000,-31.250,0.000
1743045418.030,-25.391,-14.648,0.000,-31.250,0.000
1743045418.034,-25.391,-17.578,0.000,-21.484,0.000
1743045418.038,-31.250,-20.020,-20.508,-25.879,0.000
1743045418.042,-33.691,-25.391,-14.160,-23.926,0.000
1743045418.046,-29.297,-35.156,-13.184,-22.949,0.000
1743045418.050,-33.203,-32.715,-2.930,-27.832,0.000
1743045418.053,-12.695,-23.438,-0.977,-25.879,0.000
1743045418.057,-9.766,-21.973,-8.301,-25.879,0.000
1743045418.061,-21.484,-23.438,-11.719,-27.344,0.000
1743045418.065,-19.531,-28.809,-23.438,-31.738,0.000
1743045418.069,-38.574,-41.504,-32.227,-33.203,0.000
1743045418.073,-48.340,-44.434,-29.297,-38.574,0.000
1743045418.077,-39.062,-44.434,-31.738,-43.457,0.000
1743045418.081,-23.438,-43.457,-27.832,-35.156,0.000
1743045418.085,-28.320,-34.180,-17.578,-31.738,0.000
1743045418.089,-41.992,-26.855,-21.484,-25.879,0.000
1743045418.093,-43.457,-28.809,-26.367,-10.742,0.000
1743045418.096,-24.902,-23.926,-23.926,-8.301,0.000
1743045418.100,-18.555,-11.719,-19.043,-13.672,0.000
1743045418.104,-15.625,-14.648,-10.254,-16.113,0.000
1743045418.108,-19.043,-32.227,-12.207,-25.879,0.000
1743045418.112,-23.926,-26.367,-17.090,-22.949,0.000
1743045418.116,-25.391,-20.996,-26.855,-23.438,0.000
1743045418.120,-27.832,-26.855,-37.109,-25.879,0.000
1743045418.124,-29.297,-37.109,-32.227,-15.137,0.000
1743045418.128,-34.180,-39.062,-30.273,-18.555,0.000
1743045418.132,-28.320,-29.297,-37.598,-34.180,0.000
1743045418.135,-27.344,-23.926,-35.645,-26.367,0.000
1743045418.139,-42.480,-30.273,-36.621,-28.809,0.000
1743045418.143,-32.227,-34.668,-31.250,-31.250,0.000
1743045418.147,-29.785,-29.785,-23.438,-24.414,0.000
1743045418.151,-52.734,-40.039,-32.715,-35.645,0.000
1743045418.155,-53.223,-48.340,-45.410,-42.969,0.000
1743045418.159,-38.574,-39.062,-45.898,-41.992,0.000
1743045418.163,-37.598,-36.621,-39.551,-42.480,0.000
1743045418.167,-34.180,-34.180,-45.410,-33.203,0.000
1743045418.171,-15.137,-21.973,-59.082,-25.391,0.000
1743045418.175,-21.484,-25.391,-87.402,-21.973,0.000
1743045418.178,-33.691,-26.855,0.000,-17.090,0.000
1743045418.182,-29.785,-25.879,0.000,-20.996,0.000
1743045418.186,-33.203,-28.320,0.000,-32.715,0.000
1743045418.190,-30.273,-28.809,0.000,-35.156,0.000
1743045418.194,-30.273,-26.367,0.000,-32.227,0.000
1743045418.198,-36.133,-25.391,0.000,-32.715,0.000
1743045418.202,-29.297,-34.668,0.000,-28.809,0.000
1743045418.206,-26.367,-28.809,0.000,-24.902,0.000
1743045418.210,-33.203,-24.902,0.000,-27.344,0.000
1743045418.214,-29.785,-32.715,0.000,-17.090,0.000
1743045418.217,-23.926,-30.762,0.000,-10.254,0.000
1743045418.221,-17.090,-19.043,0.000,-15.625,0.000
1743045418.225,-17.578,-16.113,-148.438,-22.949,0.000
1743045418.229,-26.367,-23.926,-115.234,-20.996,0.000
1743045418.233,-28.809,-26.855,-88.867,-14.648,0.000
1743045418.237,-35.645,-30.273,-50.293,-20.508,0.000
1743045418.241,-38.086,-29.297,-28.320,-24.414,0.000
1743045418.245,-34.668,-25.879,-24.902,-16.602,0.000
1743045418.249,-28.320,-32.227,-19.531,-13.672,0.000
1743045418.253,-19.531,-31.738,-13.672,-18.066,0.000
1743045418.257,-27.344,-22.461,-15.625,-16.602,0.000
1743045418.260,-25.879,-18.555,-17.090,-21.973,0.000
1743045418.264,-16.602,-25.391,-9.277,-32.227,0.000
1743045418.268,-27.344,-28.320,-8.789,-34.180,0.000
1743045418.272,-32.715,-25.391,0.000,-31.738,0.000
1743045418.276,-40.039,-35.156,0.000,-37.598,0.000
1743045418.280,-44.434,-33.203,0.000,-34.668,0.000
1743045418.284,-42.480,-27.344,0.000,-41.992,0.000
1743045418.288,-45.410,-33.691,0.000,-45.898,0.000
1743045418.292,-44.434,-26.855,0.000,-35.645,0.000
1743045418.296,-42.480,-26.367,0.000,-35.156,0.000
1743045418.300,-41.504,-33.203,0.000,-39.062,0.000
1743045418.303,-36.621,-36.133,0.000,-32.715,0.000
1743045418.307,-24.414,-36.133,0.000,-20.996,0.000
1743045418.311,-27.344,-28.320,0.000,-20.996,0.000
