timestamps,TP9,AF7,AF8,TP10,Right AUX
1742955118.308,-32.715,-30.762,-30.273,-31.250,0.000
1742955118.312,-25.879,-30.273,-28.320,-40.527,0.000
1742955118.316,-26.367,-29.785,-26.855,-37.598,0.000
1742955118.320,-33.691,-29.785,-27.832,-38.086,0.000
1742955118.324,-38.086,-30.273,-25.391,-38.574,0.000
1742955118.328,-33.203,-29.785,-24.902,-30.762,0.000
1742955118.332,-26.367,-24.902,-24.414,-30.762,0.000
1742955118.336,-20.996,-30.273,-30.273,-36.621,0.000
1742955118.339,-24.414,-35.645,-30.273,-35.645,0.000
1742955118.343,-29.297,-41.016,-28.809,-34.668,0.000
1742955118.347,-30.762,-40.039,-32.227,-36.621,0.000
1742955118.351,-23.926,-29.785,-29.297,-30.762,0.000
1742955118.355,-20.508,-27.832,-28.809,-28.809,0.000
1742955118.359,-21.973,-36.133,-36.133,-33.691,0.000
1742955118.363,-20.508,-33.691,-31.738,-33.203,0.000
1742955118.367,-22.461,-33.691,-27.832,-26.855,0.000
1742955118.371,-25.391,-39.062,-35.156,-29.297,0.000
1742955118.375,-30.762,-32.715,-33.691,-32.227,0.000
1742955118.378,-34.180,-28.320,-29.785,-29.297,0.000
1742955118.382,-28.809,-33.691,-32.227,-24.414,0.000
1742955118.386,-25.879,-44.922,-31.250,-20.020,0.000
1742955118.390,-20.996,-46.875,-36.133,-21.973,0.000
1742955118.394,-16.602,-41.016,-33.203,-22.461,0.000
1742955118.398,-30.273,-37.598,-29.785,-29.297,0.000
1742955118.402,0.000,-41.016,0.000,-33.691,0.000
1742955118.406,0.000,-37.598,0.000,-34.668,0.000
1742955118.410,0.000,-33.691,0.000,-36.133,0.000
1742955118.414,0.000,-32.227,0.000,-32.227,0.000
1742955118.418,0.000,-31.250,0.000,-36.133,0.000
1742955118.421,0.000,-36.133,0.000,-45.898,0.000
1742955118.425,0.000,-35.156,0.000,-49.805,0.000
1742955118.429,0.000,-41.504,0.000,-44.922,0.000
1742955118.433,0.000,-38.574,0.000,-41.504,0.000
1742955118.437,0.000,-31.250,0.000,-41.992,0.000
1742955118.441,0.000,-33.203,0.000,-40.039,0.000
1742955118.445,0.000,-35.645,0.000,-35.645,0.000
1742955118.449,-42.480,-42.969,-36.621,-40.039,0.000
1742955118.453,-43.945,-48.340,-34.180,-42.480,0.000
1742955118.457,-41.016,-49.316,-33.203,-40.527,0.000
1742955118.461,-38.086,-45.410,-31.250,-34.180,0.000
1742955118.464,-34.668,-43.945,-27.344,-31.738,0.000
1742955118.468,-33.691,-39.551,-29.785,-30.762,0.000
1742955118.472,-35.156,-39.551,-39.062,-29.785,0.000
1742955118.476,-34.668,-44.434,-45.410,-36.621,0.000
1742955118.480,-34.180,-37.598,-37.109,-34.180,0.000
1742955118.484,-26.367,-37.109,-34.668,-29.297,0.000
1742955118.488,-31.738,-42.969,-33.691,-35.645,0.000
1742955118.492,-38.574,-37.598,-26.855,-39.062,0.000
1742955118.496,-36.133,-34.668,-26.855,-32.715,0.000
1742955118.500,-30.273,-35.645,-25.879,-27.832,0.000
1742955118.503,-29.785,-34.668,-31.738,-30.762,0.000
1742955118.507,-36.621,-35.156,-38.574,-32.715,0.000
1742955118.511,-29.785,-30.762,-35.156,-29.785,0.000
1742955118.515,-25.391,-21.973,-31.250,-27.344,0.000
1742955118.519,-25.391,-24.414,-31.250,-21.973,0.000
1742955118.523,-20.020,-31.250,-26.855,-20.508,0.000
1742955118.527,-21.973,-33.203,-26.855,-23.438,0.000
1742955118.531,-30.762,-34.180,-40.527,-26.855,0.000
1742955118.535,-26.367,-33.691,-43.457,-22.461,0.000
1742955118.539,-19.531,-35.156,-28.809,-20.996,0.000
1742955118.543,-15.137,-29.297,-19.531,-18.066,0.000
1742955118.546,-20.996,-21.484,-21.484,-17.578,0.000
1742955118.550,-26.855,-23.438,-24.414,-23.926,0.000
1742955118.554,-31.738,-28.320,-27.832,-32.715,0.000
1742955118.558,-31.738,-31.250,-25.879,-38.574,0.000
1742955118.562,-21.973,-26.855,-19.531,-32.715,0.000
1742955118.566,-20.508,-23.438,-14.648,-26.855,0.000
1742955118.570,-23.438,-30.273,-15.625,-25.879,0.000
1742955118.574,-27.832,-29.785,-23.438,-27.832,0.000
1742955118.578,-30.273,-31.738,-34.180,-34.180,0.000
1742955118.582,-27.832,-32.227,-34.180,-33.203,0.000
1742955118.585,-23.926,-22.461,-28.809,-32.715,0.000
1742955118.589,-22.461,-25.391,-27.344,-32.227,0.000
1742955118.593,-28.809,-37.109,-32.715,-32.715,0.000
1742955118.597,-40.039,-38.574,-36.133,-40.039,0.000
1742955118.601,-41.992,-30.762,-30.762,-37.109,0.000
1742955118.605,-38.574,-28.320,-29.297,-31.250,0.000
1742955118.609,-41.992,-29.785,-29.785,-42.480,0.000
1742955118.613,-44.922,-29.297,-25.879,-49.316,0.000
