timestamps,TP9,AF7,AF8,TP10,Right AUX
1742955478.661,-16.602,-21.973,-33.691,-23.438,0.000
1742955478.665,-25.391,-23.926,-40.039,-24.414,0.000
1742955478.669,-21.973,-27.344,-38.574,-25.391,0.000
1742955478.673,-19.531,-29.785,-37.109,-25.879,0.000
1742955478.677,-16.113,-27.832,-38.086,-23.926,0.000
1742955478.681,-20.996,-24.414,-38.574,-22.461,0.000
1742955478.685,-24.414,-27.832,-38.086,-25.391,0.000
1742955478.689,-27.344,-27.832,-27.832,-20.508,0.000
1742955478.693,-31.738,-34.668,-29.785,-23.438,0.000
1742955478.697,-31.738,-36.133,-37.598,-30.273,0.000
1742955478.700,-32.715,-33.203,-47.363,-40.039,0.000
1742955478.704,-30.762,-33.203,-37.598,-35.156,0.000
1742955478.704,-30.762,-33.203,-37.598,-35.156,0.000
1742955478.708,-35.156,-27.832,-26.855,-25.879,0.000
1742955478.712,-36.621,-25.391,-29.785,-35.156,0.000
1742955478.716,-36.133,-29.785,-34.668,-48.340,0.000
1742955478.720,-36.621,-26.855,-32.715,-47.363,0.000
1742955478.724,-30.762,-26.855,-28.809,-44.922,0.000
1742955478.728,-25.391,-29.297,-29.785,-47.852,0.000
1742955478.732,-21.973,-33.691,-34.668,-47.363,0.000
1742955478.736,-41.504,-42.480,-38.574,-46.875,0.000
1742955478.739,-40.527,-37.109,-37.109,-43.457,0.000
1742955478.743,-36.621,-31.250,-40.039,-41.992,0.000
1742955478.747,-41.016,-39.062,-46.387,-41.504,0.000
1742955478.751,-28.320,-44.922,-44.922,-36.621,0.000
1742955478.755,-19.043,-41.504,-34.180,-31.250,0.000
1742955478.759,-16.602,-35.645,-27.832,-25.879,0.000
1742955478.763,-18.066,-34.180,-27.344,-21.973,0.000
1742955478.767,-16.602,-29.785,-24.414,-16.602,0.000
1742955478.771,-19.043,-24.902,-22.461,-13.672,0.000
1742955478.775,-15.625,-22.461,-24.414,-15.137,0.000
1742955478.779,-10.742,-25.879,-25.879,-18.066,0.000
1742955478.782,-20.020,-31.738,-29.785,-25.391,0.000
1742955478.786,-23.438,-28.320,-29.785,-30.762,0.000
1742955478.790,-30.762,-31.250,-32.715,-31.250,0.000
1742955478.794,-42.480,-37.109,-36.621,-32.227,0.000
1742955478.798,-43.457,-34.180,-38.574,-36.621,0.000
1742955478.802,-38.574,-30.762,-41.992,-42.480,0.000
1742955478.806,-38.086,-32.715,-42.969,-50.293,0.000
1742955478.810,-41.016,-37.598,-45.410,-58.105,0.000
1742955478.814,-40.527,-35.645,-47.852,-56.152,0.000
1742955478.818,-38.574,-30.762,-47.363,-52.734,0.000
1742955478.822,-39.062,-30.273,-45.410,-48.828,0.000
1742955478.825,-37.109,-33.203,-38.574,-44.434,0.000
1742955478.829,-33.203,-37.598,-31.250,-43.945,0.000
1742955478.833,-26.855,-38.574,-31.738,-39.062,0.000
1742955478.837,-23.438,-33.203,-31.738,-36.133,0.000
1742955478.841,-23.926,-27.344,-29.785,-41.504,0.000
1742955478.845,-18.555,-30.762,-32.227,-41.504,0.000
1742955478.849,-15.137,-34.668,-36.133,-39.551,0.000
1742955478.853,-25.391,-31.250,-37.598,-36.621,0.000
1742955478.857,-21.484,-26.855,-37.598,-36.133,0.000
1742955478.861,-14.648,-23.926,-34.668,-36.621,0.000
1742955478.864,-20.020,-26.367,-35.645,-31.250,0.000
1742955478.868,-22.949,-24.414,-37.598,-31.738,0.000
1742955478.872,-12.695,-24.414,-35.156,-36.133,0.000
1742955478.876,-10.254,-30.762,-33.691,-36.621,0.000
1742955478.880,-13.184,-28.809,-32.227,-30.762,0.000
1742955478.884,-12.695,-32.227,-32.715,-29.785,0.000
1742955478.888,-22.461,-33.203,-34.180,-30.273,0.000
1742955478.892,-26.367,-28.320,-33.203,-31.250,0.000
1742955478.896,-24.414,-33.691,-32.227,-29.297,0.000
1742955478.900,-20.996,-34.668,-28.320,-20.996,0.000
1742955478.904,-18.066,-34.180,-24.902,-21.484,0.000
1742955478.907,-19.531,-33.203,-24.414,-21.484,0.000
1742955478.911,-14.648,-28.320,-25.879,-20.508,0.000
1742955478.915,-14.160,-22.461,-26.855,-24.414,0.000
1742955478.919,-15.625,-21.973,-28.320,-26.855,0.000
1742955478.923,-16.602,-27.832,-32.227,-24.902,0.000
1742955478.927,-23.438,-28.809,-33.691,-22.461,0.000
1742955478.931,-19.531,-23.926,-34.668,-23.438,0.000
1742955478.935,-12.207,-26.855,-34.668,-28.320,0.000
1742955478.939,-14.160,-26.367,-34.180,-33.203,0.000
1742955478.943,-17.578,-23.438,-35.645,-36.621,0.000
1742955478.947,-20.996,-23.926,-30.762,-34.668,0.000
1742955478.950,-19.531,-20.996,-24.414,-29.297,0.000
1742955478.954,-16.602,-23.926,-24.414,-27.832,0.000
1742955478.958,-16.602,-29.297,-29.785,-29.785,0.000
1742955478.962,-6.836,-18.066,-32.227,-30.762,0.000
1742955478.966,-3.906,-24.414,-36.621,-34.180,0.000
1742955478.970,-6.836,-30.762,-38.574,-39.551,0.000
1742955478.974,-6.348,-20.020,-39.551,-46.387,0.000
1742955478.978,-6.836,-22.949,-40.527,-51.270,0.000
1742955478.982,-13.184,-29.297,-36.621,-47.363,0.000
1742955478.986,-23.926,-31.738,-38.086,-46.387,0.000
1742955478.989,0.000,-32.227,-43.457,-50.781,0.000
1742955478.993,0.000,-32.227,-42.969,-51.270,0.000
1742955478.997,0.000,-31.738,-47.852,-46.875,0.000
1742955479.001,0.000,-24.902,-43.945,-32.227,0.000
1742955479.005,0.000,-28.809,-30.762,-28.809,0.000
1742955479.009,0.000,-37.598,-28.809,-44.922,0.000
1742955479.013,0.000,-38.574,-29.785,-45.410,0.000
1742955479.017,0.000,-36.133,-25.391,-38.086,0.000
1742955479.021,0.000,-42.480,-27.344,-39.062,0.000
1742955479.025,0.000,-45.898,-24.414,-39.062,0.000
1742955479.029,0.000,-36.133,-14.160,-37.109,0.000
1742955479.032,0.000,-32.715,-11.719,-32.715,0.000
1742955479.036,-35.645,-35.156,-14.160,-30.762,0.000
1742955479.040,-28.809,-35.156,-20.508,-30.762,0.000
1742955479.044,-4.883,-40.527,-26.367,-34.180,0.000
1742955479.048,5.859,-44.434,-24.414,-32.715,0.000
1742955479.052,-14.160,-41.504,-24.902,-25.879,0.000
1742955479.056,-42.480,-34.668,-23.926,-28.809,0.000
1742955479.060,-45.410,-34.668,-19.531,-33.691,0.000
1742955479.064,-37.109,-40.039,-21.484,-33.203,0.000
1742955479.068,-34.180,-40.527,-21.973,-33.691,0.000
1742955479.071,-39.062,-37.598,-18.555,-32.715,0.000
1742955479.075,-34.180,-39.062,-16.602,-31.738,0.000
1742955479.079,-24.902,-42.480,-17.578,-30.762,0.000
1742955479.083,-26.367,-43.945,-18.555,-29.785,0.000
1742955479.087,-23.438,-40.527,-19.043,-27.832,0.000
1742955479.091,-22.949,-38.086,-19.531,-27.832,0.000
1742955479.095,-22.949,-32.227,-19.531,-25.879,0.000
1742955479.099,-23.926,-29.297,-19.531,-22.461,0.000
1742955479.103,-36.621,-25.879,-19.531,-24.414,0.000
1742955479.107,-31.738,-21.484,-18.066,-28.809,0.000
1742955479.111,-23.926,-25.391,-21.484,-24.414,0.000
1742955479.114,-24.902,-22.949,-21.973,-15.625,0.000
1742955479.118,-18.066,-22.949,-17.090,-18.555,0.000
1742955479.122,-16.602,-29.297,-20.996,-24.902,0.000
1742955479.126,-22.949,-27.344,-22.949,-21.484,0.000
1742955479.130,-27.832,-26.367,-24.414,-23.438,0.000
1742955479.134,-20.508,-30.762,-28.320,-23.926,0.000
1742955479.138,-16.602,-33.203,-26.855,-19.043,0.000
1742955479.142,-16.602,-27.832,-24.902,-28.320,0.000
1742955479.146,-17.090,-25.391,-23.438,-38.574,0.000
1742955479.150,-15.137,-23.926,-24.414,-42.969,0.000
1742955479.154,-10.254,-25.879,-31.250,-49.316,0.000
1742955479.157,-4.395,-34.668,-36.133,-52.734,0.000
1742955479.161,0.000,-37.109,-31.738,-51.758,0.000
1742955479.165,5.859,-35.156,-26.367,-48.340,0.000
1742955479.169,0.000,-33.691,-31.738,-49.316,0.000
1742955479.173,-9.766,-33.203,-37.598,-45.410,0.000
1742955479.177,-26.855,-36.621,-32.715,-41.504,0.000
1742955479.181,-27.344,-39.062,-28.809,-41.016,0.000
1742955479.185,-17.090,-41.016,-30.273,-37.598,0.000
1742955479.189,-5.859,-36.133,-26.367,-29.297,0.000
1742955479.193,-4.883,-33.691,-25.391,-26.367,0.000
1742955479.196,-0.488,-32.227,-26.855,-30.273,0.000
1742955479.200,4.395,-30.273,-25.879,-24.414,0.000
1742955479.204,-9.277,-36.133,-24.902,-18.555,0.000
1742955479.208,-17.578,-39.062,-22.949,-17.090,0.000
1742955479.212,-19.531,-41.016,-24.414,-18.066,0.000
1742955479.216,-13.672,-36.133,-28.809,-14.160,0.000
1742955479.220,-13.184,-37.109,-32.227,-13.672,0.000
1742955479.224,-14.160,-40.039,-25.879,-14.648,0.000
1742955479.228,-4.883,-35.645,-20.508,-8.301,0.000
1742955479.232,-9.277,-40.527,-23.926,-6.836,0.000
1742955479.236,-16.602,-44.922,-25.879,-9.766,0.000
1742955479.239,-10.254,-43.457,-18.066,-3.418,0.000
1742955479.243,3.906,-33.691,-10.254,4.883,0.000
1742955479.247,10.254,-29.297,-15.625,-5.859,0.000
1742955479.251,6.348,-35.645,-18.555,-10.254,0.000
1742955479.255,0.000,-37.598,-17.578,-8.301,0.000
1742955479.259,2.930,-34.668,-20.508,-13.672,0.000
1742955479.263,10.254,-28.320,-18.066,-10.254,0.000
1742955479.267,4.395,-25.391,-18.555,-13.672,0.000
1742955479.271,-3.418,-30.762,-20.508,-20.508,0.000
1742955479.275,0.488,-27.344,-23.438,-16.602,0.000
1742955479.279,0.977,-24.414,-26.855,-16.602,0.000
1742955479.282,3.418,-26.367,-26.855,-20.508,0.000
1742955479.286,3.418,-24.414,-28.809,-26.855,0.000
1742955479.290,-0.488,-18.555,-30.762,-31.250,0.000
1742955479.294,1.465,-20.508,-37.109,-34.180,0.000
1742955479.298,2.930,-28.809,-37.109,-33.691,0.000
1742955479.302,2.930,-23.438,-27.832,-29.785,0.000
1742955479.306,8.301,-18.555,-29.297,-29.785,0.000
1742955479.310,5.859,-15.625,-30.273,-31.738,0.000
1742955479.314,-3.418,-12.207,-24.902,-30.273,0.000
1742955479.318,-7.324,-18.555,-24.414,-32.227,0.000
1742955479.321,-6.348,-26.855,-27.832,-34.668,0.000
1742955479.325,-6.348,-24.902,-29.785,-29.785,0.000
1742955479.329,-5.859,-23.438,-30.762,-32.715,0.000
1742955479.333,-5.371,-22.949,-35.645,-36.621,0.000
1742955479.337,-8.789,-17.578,-30.273,-31.738,0.000
1742955479.341,-9.277,-20.996,-24.414,-33.691,0.000
1742955479.345,-12.695,-30.273,-26.855,-38.086,0.000
1742955479.349,-16.113,-29.297,-25.391,-33.203,0.000
1742955479.353,-14.648,-26.367,-25.391,-32.227,0.000
1742955479.357,-13.672,-24.414,-25.391,-35.156,0.000
1742955479.361,-14.648,-19.043,-24.902,-30.273,0.000
1742955479.364,-13.672,-20.996,-30.273,-23.926,0.000
1742955479.368,-8.301,-20.996,-28.809,-23.926,0.000
1742955479.372,3.906,-14.648,-23.438,-18.555,0.000
1742955479.376,8.301,-20.020,-27.832,-17.090,0.000
1742955479.380,8.301,-20.996,-28.809,-18.555,0.000
1742955479.384,11.230,-8.789,-26.367,-18.066,0.000
1742955479.388,4.883,-9.766,-24.414,-13.184,0.000
1742955479.392,0.977,-16.113,-22.949,-9.277,0.000
1742955479.396,2.441,-17.578,-26.855,-10.742,0.000
1742955479.400,1.953,-20.996,-34.668,-18.555,0.000
1742955479.404,-0.488,-22.461,-35.645,-21.973,0.000
1742955479.407,-3.418,-25.391,-35.156,-17.090,0.000
1742955479.411,-4.883,-28.809,-41.504,-22.461,0.000
1742955479.415,3.906,-25.879,-40.527,-24.414,0.000
1742955479.419,4.395,-22.461,-32.227,-17.090,0.000
1742955479.423,-8.789,-25.879,-26.855,-19.043,0.000
1742955479.427,-8.789,-26.367,-27.832,-24.414,0.000
1742955479.431,-6.348,-27.344,-31.738,-27.832,0.000
1742955479.435,-5.371,-31.250,-32.715,-29.785,0.000
1742955479.439,-12.207,-33.203,-36.621,-29.297,0.000
1742955479.443,-17.090,-28.320,-33.691,-26.855,0.000
1742955479.446,-8.301,-23.926,-29.785,-29.297,0.000
1742955479.450,-3.906,-23.438,-30.762,-32.227,0.000
1742955479.454,-7.812,-24.902,-27.344,-23.926,0.000
1742955479.458,-9.277,-26.855,-29.785,-16.602,0.000
1742955479.462,-12.207,-23.926,-36.621,-21.973,0.000
1742955479.466,-13.672,-25.879,-41.992,-29.297,0.000
1742955479.470,-11.230,-30.273,-38.086,-27.344,0.000
1742955479.474,-15.137,-26.855,-31.250,-27.344,0.000
1742955479.478,-24.902,-28.809,-37.109,-35.156,0.000
1742955479.482,-19.043,-28.809,-39.551,-34.668,0.000
1742955479.486,-13.672,-35.156,-39.551,-29.785,0.000
1742955479.489,-20.508,-40.527,-39.551,-33.691,0.000
1742955479.493,-15.625,-34.180,-37.109,-35.645,0.000
1742955479.497,-20.508,-38.574,-40.527,-38.574,0.000
1742955479.501,-25.879,-40.039,-40.039,-38.086,0.000
1742955479.505,-23.438,-32.715,-38.086,-33.691,0.000
1742955479.509,-21.484,-33.203,-37.598,-34.180,0.000
1742955479.513,-20.020,-33.691,-35.645,-34.180,0.000
1742955479.517,-23.926,-34.668,-33.203,-36.133,0.000
1742955479.521,-26.367,-34.668,-37.109,-41.016,0.000
1742955479.525,-31.250,-29.785,-43.457,-45.898,0.000
1742955479.529,-27.832,-32.227,-40.527,-46.387,0.000
1742955479.532,-23.926,-43.457,-37.598,-47.852,0.000
1742955479.536,-22.461,-47.363,-38.086,-44.922,0.000
1742955479.540,-25.391,-37.109,-35.156,-41.992,0.000
1742955479.544,-34.668,-34.180,-32.227,-39.062,0.000
1742955479.548,-30.273,-33.203,-29.785,-34.180,0.000
1742955479.552,-32.227,-34.668,-27.344,-39.062,0.000
1742955479.556,-32.715,-39.062,-29.785,-42.969,0.000
1742955479.560,-23.438,-33.691,-34.180,-39.062,0.000
1742955479.564,-18.555,-33.691,-38.086,-37.598,0.000
1742955479.568,-25.879,-37.598,-34.668,-33.691,0.000
1742955479.571,-21.484,-33.691,-34.180,-32.227,0.000
1742955479.575,-13.672,-29.297,-37.109,-29.297,0.000
1742955479.579,-16.113,-26.855,-30.762,-21.484,0.000
1742955479.583,-19.531,-29.297,-27.832,-26.855,0.000
1742955479.587,-22.949,-32.715,-29.785,-33.203,0.000
1742955479.591,-24.414,-33.691,-34.180,-31.250,0.000
1742955479.595,-19.531,-33.203,-32.227,-32.227,0.000
1742955479.599,-15.137,-28.809,-35.156,-33.691,0.000
1742955479.603,-19.531,-39.551,-38.574,-34.180,0.000
1742955479.607,-26.367,-51.758,-32.227,-30.273,0.000
1742955479.611,-25.879,-41.504,-36.621,-28.809,0.000
1742955479.614,-16.113,-20.996,-41.504,-23.926,0.000
1742955479.618,-20.996,-17.090,-38.086,-27.344,0.000
1742955479.622,-27.344,-21.484,-35.645,-38.574,0.000
1742955479.626,-17.578,-17.090,-25.391,-41.016,0.000
1742955479.630,-18.066,-15.137,-25.391,-48.340,0.000
1742955479.634,-35.645,-24.902,-25.391,-61.523,0.000
1742955479.638,-49.805,-20.020,-23.926,-72.754,0.000
1742955479.642,-63.965,-30.762,-29.785,-81.543,0.000
1742955479.646,0.000,-78.613,0.000,-89.844,0.000
1742955479.650,0.000,-74.219,0.000,-107.910,0.000
1742955479.654,0.000,-44.922,0.000,-123.535,0.000
1742955479.657,0.000,-33.691,0.000,-127.930,0.000
1742955479.661,0.000,-16.113,0.000,-114.258,0.000
1742955479.665,0.000,-18.066,0.000,-119.141,0.000
1742955479.669,0.000,-67.383,0.000,-195.312,0.000
1742955479.673,0.000,-123.535,0.000,-231.934,0.000
1742955479.677,0.000,-134.766,0.000,-202.637,0.000
1742955479.681,0.000,-75.195,0.000,-172.363,0.000
1742955479.685,0.000,-61.523,0.000,-204.102,0.000
1742955479.689,0.000,-101.074,0.000,-237.793,0.000
1742955479.693,-267.090,-98.145,-19.531,-229.492,0.000
1742955479.696,-242.188,-65.918,-26.367,-215.332,0.000
1742955479.700,-188.477,-76.660,2.441,-171.387,0.000
1742955479.704,-172.363,-116.211,36.133,-139.160,0.000
1742955479.708,-238.281,-143.555,20.508,-190.918,0.000
1742955479.712,-263.672,-105.957,-18.066,-215.332,0.000
1742955479.716,-213.867,-16.113,4.395,-167.969,0.000
1742955479.720,-209.473,-20.996,45.898,-152.832,0.000
1742955479.724,-249.023,-110.352,23.926,-187.012,0.000
1742955479.728,-240.234,-124.023,19.043,-172.852,0.000
1742955479.732,-213.867,-93.262,33.691,-138.184,0.000
1742955479.736,-207.520,-90.820,23.926,-134.277,0.000
1742955479.739,-187.500,-79.102,19.531,-107.910,0.000
1742955479.743,-152.344,-68.359,3.418,-83.008,0.000
1742955479.747,-123.047,-55.176,49.805,-68.848,0.000
1742955479.751,-104.004,-59.570,41.016,-34.180,0.000
1742955479.755,-108.887,-77.637,8.301,-49.805,0.000
1742955479.759,-118.164,-53.711,33.691,-81.055,0.000
1742955479.763,-106.934,-24.902,50.781,-67.871,0.000
1742955479.767,-116.699,-31.738,51.758,-73.730,0.000
1742955479.771,-66.406,-53.223,76.660,-28.320,0.000
1742955479.775,27.832,20.508,171.387,53.711,0.000
1742955479.778,28.809,38.574,138.184,44.922,0.000
1742955479.782,20.508,-25.391,58.594,38.574,0.000
1742955479.786,-27.344,-14.648,-15.625,-1.953,0.000
1742955479.790,-27.832,80.078,83.008,0.488,0.000
