timestamps,TP9,AF7,AF8,TP10,Right AUX
1743047081.155,58.594,-19.531,-29.297,-41.992,0.000
1743047081.159,59.082,-18.555,-26.367,-36.133,0.000
1743047081.162,81.055,-5.859,-14.648,-22.949,0.000
1743047081.166,66.895,-10.254,-20.996,-27.832,0.000
1743047081.170,50.293,-20.508,-37.109,-30.762,0.000
1743047081.174,58.594,-12.695,-41.016,-28.809,0.000
1743047081.178,69.824,-12.695,-41.504,-26.367,0.000
1743047081.182,37.109,-24.414,-40.039,-40.527,0.000
1743047081.186,26.855,-22.461,-46.387,-49.316,0.000
1743047081.190,44.434,-20.020,-56.152,-37.598,0.000
1743047081.194,47.363,-10.254,-47.852,-34.180,0.000
1743047081.198,42.969,-1.953,-35.156,-31.738,0.000
1743047081.202,34.668,-15.137,-43.457,-30.273,0.000
1743047081.205,26.367,-20.020,-47.852,-41.504,0.000
1743047081.209,17.578,-18.555,-44.434,-42.969,0.000
1743047081.213,22.949,-18.066,-42.969,-39.062,0.000
1743047081.217,23.438,-19.043,-42.480,-42.969,0.000
1743047081.221,21.973,-12.695,-34.668,-41.016,0.000
1743047081.225,13.672,-9.766,-28.809,-33.691,0.000
1743047081.229,3.906,-25.391,-43.457,-55.664,0.000
1743047081.233,5.371,-26.855,-40.527,-61.035,0.000
1743047081.237,7.812,-22.461,-26.367,-47.852,0.000
1743047081.241,0.488,-26.367,-33.203,-46.387,0.000
1743047081.245,4.883,-23.926,-33.203,-43.945,0.000
1743047081.248,4.883,-19.043,-17.578,-34.668,0.000
1743047081.252,8.789,-15.137,-23.926,-31.738,0.000
1743047081.256,8.301,-19.531,-36.133,-34.668,0.000
1743047081.260,-1.953,-24.414,-34.180,-36.621,0.000
1743047081.264,3.418,-26.367,-32.715,-34.180,0.000
1743047081.268,3.906,-23.438,-31.250,-37.109,0.000
1743047081.272,-4.395,-25.391,-32.227,-39.551,0.000
1743047081.276,13.672,-21.973,-17.090,-22.461,0.000
1743047081.280,19.531,-16.113,-12.695,-19.043,0.000
1743047081.284,-9.277,-27.832,-36.621,-35.645,0.000
1743047081.287,-17.578,-32.227,-43.945,-41.504,0.000
1743047081.291,-17.578,-31.250,-43.457,-44.922,0.000
1743047081.295,-17.578,-31.738,-43.945,-36.621,0.000
1743047081.299,-27.832,-34.180,-44.922,-33.203,0.000
1743047081.303,-17.578,-26.855,-36.133,-32.715,0.000
1743047081.307,-8.301,-29.297,-31.738,-31.250,0.000
1743047081.311,-11.719,-33.203,-40.039,-33.203,0.000
1743047081.315,-0.977,-15.137,-30.273,-27.344,0.000
1743047081.319,12.695,-14.648,-18.066,-29.297,0.000
1743047081.323,1.953,-34.180,-30.762,-36.621,0.000
1743047081.327,-3.418,-32.715,-30.762,-21.973,0.000
1743047081.330,-7.324,-34.180,-24.902,-15.137,0.000
1743047081.334,-21.973,-46.875,-31.738,-41.016,0.000
1743047081.338,-2.930,-36.621,-24.414,-26.855,0.000
1743047081.342,0.000,-31.738,-23.926,-6.836,0.000
1743047081.346,0.000,-40.527,-33.203,-24.902,0.000
1743047081.350,0.000,-36.621,-26.855,-20.996,0.000
1743047081.354,0.000,-24.414,-27.344,-15.625,0.000
1743047081.358,0.000,-18.555,-23.438,-12.207,0.000
1743047081.362,0.000,-26.367,-20.020,-11.230,0.000
1743047081.366,0.000,-35.645,-35.645,-15.137,0.000
1743047081.370,0.000,-44.434,-48.340,-14.160,0.000
1743047081.373,0.000,-51.758,-41.504,-23.926,0.000
1743047081.377,0.000,-42.480,-21.484,-19.043,0.000
1743047081.381,0.000,-26.855,-10.742,-10.254,0.000
1743047081.385,0.000,-29.785,-18.555,-15.625,0.000
1743047081.389,-18.555,-38.086,-25.879,-20.020,0.000
1743047081.393,-26.855,-41.504,-30.762,-28.809,0.000
1743047081.397,-28.320,-39.062,-31.250,-32.227,0.000
1743047081.401,-24.414,-36.621,-25.879,-24.414,0.000
1743047081.405,-20.996,-29.297,-27.344,-24.414,0.000
1743047081.409,-17.578,-23.438,-29.785,-24.414,0.000
1743047081.412,-14.648,-25.391,-28.809,-22.461,0.000
1743047081.416,-21.484,-29.785,-31.250,-23.438,0.000
1743047081.420,-33.203,-35.645,-32.715,-30.273,0.000
1743047081.424,-23.438,-27.344,-27.832,-35.156,0.000
1743047081.428,-21.484,-21.484,-24.902,-28.320,0.000
1743047081.432,-58.105,-32.715,-35.156,-35.156,0.000
1743047081.436,-56.641,-30.762,-33.203,-44.922,0.000
1743047081.440,-24.902,-12.207,-13.184,-27.832,0.000
1743047081.444,-25.391,-22.949,-25.879,-28.320,0.000
1743047081.448,-20.508,-29.297,-35.156,-23.438,0.000
1743047081.452,-17.090,-22.461,-24.902,-18.555,0.000
1743047081.455,-16.113,-20.996,-18.066,-22.461,0.000
1743047081.459,-16.602,-29.297,-21.484,-23.438,0.000
1743047081.463,-32.227,-41.504,-29.297,-24.902,0.000
1743047081.467,-32.715,-33.203,-26.367,-27.344,0.000
1743047081.471,-37.109,-28.809,-26.855,-28.320,0.000
1743047081.475,-38.086,-31.250,-25.879,-26.855,0.000
1743047081.479,-29.785,-28.320,-20.996,-21.484,0.000
1743047081.483,-27.832,-27.832,-22.949,-26.855,0.000
1743047081.487,-45.898,-30.762,-30.762,-33.691,0.000
1743047081.491,-42.480,-32.227,-28.809,-30.273,0.000
1743047081.494,-38.574,-26.855,-20.020,-26.855,0.000
1743047081.498,-40.039,-14.648,-23.926,-24.902,0.000
1743047081.502,-41.504,-14.648,-32.227,-26.367,0.000
