timestamps,TP9,AF7,AF8,TP10,Right AUX
1743626726.167,-40.039,-32.715,-35.645,-25.879,0.000
1743626726.171,-29.785,-30.762,-34.668,-24.414,0.000
1743626726.175,-25.391,-29.785,-30.273,-29.297,0.000
1743626726.179,-34.180,-28.320,-33.203,-28.320,0.000
1743626726.183,-25.391,-27.344,-32.715,-34.668,0.000
1743626726.187,-19.531,-21.973,-29.297,-33.203,0.000
1743626726.191,-25.879,-19.043,-30.762,-23.926,0.000
1743626726.195,-17.090,-20.508,-36.133,-34.180,0.000
1743626726.199,-22.949,-19.043,-38.574,-44.434,0.000
1743626726.202,-37.598,-26.855,-37.598,-44.922,0.000
1743626726.206,-24.902,-22.461,-31.250,-46.875,0.000
1743626726.210,-23.438,-18.066,-24.902,-40.527,0.000
1743626726.210,-23.438,-18.066,-24.902,-40.527,0.000
1743626726.214,-23.926,-20.020,-19.531,-36.621,0.000
1743626726.218,-20.020,-22.461,-15.625,-42.480,0.000
1743626726.222,-24.414,-24.902,-22.461,-52.734,0.000
1743626726.226,-32.227,-23.438,-27.344,-50.293,0.000
1743626726.230,-36.133,-19.531,-20.508,-39.062,0.000
1743626726.234,-27.832,-17.578,-17.090,-34.668,0.000
1743626726.238,-21.484,-16.602,-20.508,-35.156,0.000
1743626726.241,-19.043,-16.113,-14.160,-32.715,0.000
1743626726.245,-32.227,-17.578,-13.672,-29.297,0.000
1743626726.249,-26.367,-13.184,-20.508,-26.855,0.000
1743626726.253,-25.879,-9.766,-17.578,-23.926,0.000
1743626726.257,-42.969,-12.207,-16.602,-25.391,0.000
1743626726.261,-38.086,-13.184,-14.160,-25.879,0.000
1743626726.265,-26.855,-12.695,-11.719,-26.855,0.000
1743626726.269,-24.414,-15.625,-16.113,-29.297,0.000
1743626726.273,-38.574,-22.461,-16.602,-34.668,0.000
1743626726.277,-38.574,-28.809,-18.555,-37.598,0.000
1743626726.281,-38.574,-28.809,-22.949,-44.434,0.000
1743626726.284,-49.316,-28.809,-28.320,-46.387,0.000
1743626726.288,-40.527,-29.785,-32.715,-38.086,0.000
1743626726.292,-18.555,-24.414,-32.227,-35.645,0.000
1743626726.296,-15.625,-25.391,-28.809,-43.945,0.000
1743626726.300,-36.133,-34.180,-22.461,-49.316,0.000
1743626726.304,-50.293,-36.621,-14.648,-49.805,0.000
1743626726.308,-37.109,-30.273,-19.043,-47.363,0.000
1743626726.312,-33.691,-30.762,-28.809,-51.758,0.000
1743626726.316,-35.645,-37.109,-28.809,-53.711,0.000
1743626726.320,-37.109,-36.133,-18.555,-40.527,0.000
1743626726.324,-40.039,-32.227,-16.602,-51.270,0.000
1743626726.327,-36.621,-30.273,-18.555,-51.270,0.000
1743626726.331,-35.645,-24.414,-17.578,-26.855,0.000
1743626726.335,-24.902,-26.367,-26.855,-31.738,0.000
1743626726.339,-35.156,-30.762,-33.691,-42.969,0.000
1743626726.343,-50.293,-30.762,-34.180,-46.875,0.000
1743626726.347,-39.551,-30.762,-29.785,-50.293,0.000
1743626726.351,-28.320,-31.250,-33.203,-43.457,0.000
1743626726.355,-36.621,-31.250,-40.527,-41.016,0.000
1743626726.359,-33.691,-27.344,-38.086,-30.762,0.000
