timestamps,TP9,AF7,AF8,TP10,Right AUX
1744693168.124,45.898,-10.254,-21.973,-9.766,0.000
1744693168.128,-41.992,-19.043,-23.926,-18.555,0.000
1744693168.132,-79.590,-29.297,-28.809,-30.273,0.000
1744693168.136,-2.930,-19.531,-25.879,-24.902,0.000
1744693168.140,42.480,-14.160,-22.949,-17.090,0.000
1744693168.144,-19.531,-21.484,-27.344,-17.578,0.000
1744693168.147,-80.078,-31.738,-35.156,-25.879,0.000
1744693168.151,-27.832,-30.762,-28.809,-31.250,0.000
1744693168.155,32.227,-20.020,-25.879,-32.715,0.000
1744693168.159,-8.789,-25.391,-28.809,-32.715,0.000
1744693168.163,-77.148,-33.203,-31.738,-24.414,0.000
1744693168.167,-44.922,-25.879,-30.273,-20.020,0.000
1744693168.171,44.922,-12.207,-25.391,-11.230,0.000
1744693168.175,34.668,-13.184,-28.809,-4.883,0.000
1744693168.179,-56.152,-25.391,-37.109,-21.484,0.000
1744693168.183,-66.895,-32.715,-41.504,-32.227,0.000
1744693168.186,21.973,-23.438,-35.645,-22.461,0.000
1744693168.190,49.316,-16.113,-34.180,-18.066,0.000
1744693168.194,-31.250,-22.461,-35.645,-20.508,0.000
1744693168.198,-70.801,-31.250,-36.621,-26.367,0.000
1744693168.202,2.930,-27.344,-31.250,-23.438,0.000
1744693168.206,43.945,-26.855,-28.809,-18.066,0.000
1744693168.210,-22.461,-34.668,-35.645,-26.855,0.000
1744693168.214,-84.473,-37.598,-43.457,-35.156,0.000
1744693168.218,-26.855,-34.180,-40.039,-28.320,0.000
1744693168.222,45.898,-26.367,-32.715,-21.484,0.000
1744693168.226,12.207,-19.531,-29.297,-20.996,0.000
1744693168.229,-66.895,-23.926,-33.203,-28.320,0.000
1744693168.233,-48.340,-23.438,-33.691,-30.273,0.000
1744693168.237,38.086,-10.254,-23.926,-21.484,0.000
1744693168.241,31.738,-3.418,-31.738,-20.996,0.000
1744693168.245,-56.641,-23.926,-36.133,-23.438,0.000
1744693168.249,-69.336,-33.691,-34.180,-23.438,0.000
1744693168.253,11.719,-19.043,-33.203,-15.625,0.000
1744693168.257,48.828,-6.348,-18.555,-3.418,0.000
1744693168.261,-20.508,-11.230,-19.043,-5.859,0.000
1744693168.265,-75.684,-27.344,-26.855,-19.531,0.000
1744693168.269,-9.766,-24.902,-26.855,-25.879,0.000
1744693168.272,40.039,-14.160,-26.855,-20.020,0.000
1744693168.276,-19.531,-26.855,-30.273,-20.508,0.000
1744693168.280,-83.496,-36.133,-26.367,-24.414,0.000
1744693168.284,-37.598,-20.996,-20.508,-26.367,0.000
1744693168.288,31.250,-20.020,-26.855,-31.250,0.000
1744693168.292,-0.977,-29.785,-34.668,-29.785,0.000
1744693168.296,-80.078,-37.598,-37.109,-26.855,0.000
1744693168.300,-59.082,-35.645,-34.180,-26.367,0.000
1744693168.304,20.996,-19.043,-30.273,-23.438,0.000
1744693168.308,19.531,-10.742,-28.809,-20.020,0.000
1744693168.311,0.000,-20.020,0.000,-27.344,0.000
1744693168.315,0.000,-19.531,0.000,-30.762,0.000
1744693168.319,0.000,-12.207,0.000,-28.809,0.000
1744693168.323,0.000,-10.254,0.000,-24.414,0.000
1744693168.327,0.000,-16.602,0.000,-24.902,0.000
1744693168.331,0.000,-25.391,0.000,-36.133,0.000
1744693168.335,0.000,-22.949,0.000,-35.645,0.000
1744693168.339,0.000,-21.973,0.000,-30.762,0.000
1744693168.343,0.000,-24.902,0.000,-30.762,0.000
1744693168.347,0.000,-31.738,0.000,-37.598,0.000
1744693168.351,0.000,-31.250,0.000,-37.598,0.000
1744693168.354,0.000,-25.879,0.000,-27.832,0.000
1744693168.358,-61.523,-24.902,-28.320,-29.785,0.000
1744693168.362,-83.008,-29.297,-32.227,-34.668,0.000
1744693168.366,-3.906,-29.785,-30.762,-30.273,0.000
1744693168.370,35.156,-20.996,-29.297,-27.832,0.000
1744693168.374,-33.203,-17.578,-27.344,-28.320,0.000
1744693168.378,-90.332,-21.484,-30.762,-27.344,0.000
1744693168.382,-28.809,-21.973,-35.156,-25.879,0.000
1744693168.386,32.227,-24.902,-35.156,-29.297,0.000
1744693168.390,-14.648,-25.391,-35.156,-27.344,0.000
1744693168.393,-87.891,-28.809,-36.133,-26.855,0.000
1744693168.397,-50.781,-34.180,-37.109,-35.645,0.000
1744693168.401,27.344,-34.668,-36.621,-35.156,0.000
1744693168.405,10.254,-28.320,-33.203,-28.809,0.000
1744693168.409,-75.684,-29.785,-30.762,-29.297,0.000
1744693168.413,-70.801,-35.156,-31.250,-31.250,0.000
1744693168.417,10.254,-29.785,-39.062,-33.691,0.000
1744693168.421,18.555,-13.184,-34.668,-23.438,0.000
1744693168.425,-56.641,-8.789,-29.785,-14.648,0.000
1744693168.429,-88.379,-23.438,-42.969,-20.020,0.000
1744693168.433,-20.020,-27.344,-44.922,-15.625,0.000
1744693168.436,22.461,-17.578,-29.785,-1.953,0.000
1744693168.440,-41.504,-24.414,-25.879,-17.578,0.000
1744693168.444,-106.445,-38.574,-27.344,-31.738,0.000
1744693168.448,-48.340,-41.016,-17.090,-24.414,0.000
1744693168.452,-15.137,-31.250,-13.184,-21.973,0.000
1744693168.456,37.109,-25.391,-20.996,-20.020,0.000
1744693168.460,-16.602,-25.879,-26.367,-20.020,0.000
1744693168.464,-81.543,-32.715,-28.320,-28.320,0.000
1744693168.468,-41.016,-40.039,-22.949,-29.297,0.000
1744693168.472,39.062,-22.949,-16.113,-19.531,0.000
1744693168.475,7.324,-14.160,-20.020,-20.996,0.000
1744693168.479,-84.961,-35.156,-27.832,-25.391,0.000
1744693168.483,-69.336,-44.434,-27.344,-26.367,0.000
1744693168.487,21.484,-31.738,-23.438,-20.508,0.000
1744693168.491,30.762,-21.484,-22.461,-11.230,0.000
1744693168.495,-51.758,-34.668,-25.879,-18.555,0.000
1744693168.499,-67.871,-40.527,-28.320,-25.879,0.000
1744693168.503,8.789,-30.762,-25.391,-22.461,0.000
1744693168.507,31.738,-21.973,-21.973,-21.973,0.000
1744693168.511,-49.316,-30.273,-27.832,-30.273,0.000
1744693168.515,-94.727,-41.504,-35.156,-34.180,0.000
1744693168.518,-22.461,-29.297,-31.738,-30.273,0.000
1744693168.522,30.762,-25.391,-30.273,-26.855,0.000
1744693168.526,-22.461,-33.691,-28.809,-24.414,0.000
1744693168.530,-88.379,-38.574,-29.297,-27.832,0.000
1744693168.534,-43.457,-37.109,-27.344,-24.902,0.000
1744693168.538,34.668,-32.227,-23.438,-17.578,0.000
1744693168.542,14.648,-23.926,-20.508,-11.230,0.000
1744693168.546,-72.266,-27.832,-24.902,-16.602,0.000
1744693168.550,-76.172,-43.945,-36.133,-27.832,0.000
1744693168.554,10.742,-35.645,-32.715,-19.531,0.000
1744693168.558,22.949,-25.879,-30.273,-16.113,0.000
1744693168.561,-55.176,-35.156,-36.133,-24.902,0.000
1744693168.565,-76.172,-36.133,-37.109,-30.762,0.000
1744693168.569,-5.859,-30.273,-31.250,-27.344,0.000
1744693168.573,27.832,-29.297,-28.809,-23.438,0.000
1744693168.577,-38.086,-31.738,-35.156,-24.414,0.000
1744693168.581,-89.844,-41.992,-36.133,-29.297,0.000
1744693168.585,-23.926,-41.016,-31.738,-28.809,0.000
1744693168.589,39.062,-29.785,-25.879,-25.391,0.000
1744693168.593,-5.859,-24.902,-25.391,-18.555,0.000
1744693168.597,-80.566,-34.180,-29.297,-18.066,0.000
1744693168.600,-46.387,-36.621,-30.273,-19.531,0.000
1744693168.604,37.109,-23.926,-24.902,-18.066,0.000
1744693168.608,13.672,-24.414,-27.832,-22.461,0.000
1744693168.612,-74.219,-34.180,-38.574,-29.785,0.000
1744693168.616,-71.777,-39.062,-39.062,-34.180,0.000
1744693168.620,19.043,-32.227,-33.691,-31.250,0.000
1744693168.624,33.203,-26.855,-27.832,-20.508,0.000
1744693168.628,-53.223,-30.762,-28.320,-16.602,0.000
1744693168.632,-86.426,-30.762,-34.668,-27.344,0.000
1744693168.636,-7.324,-18.066,-30.273,-23.926,0.000
1744693168.640,34.180,-13.672,-21.973,-17.578,0.000
1744693168.643,-38.086,-26.367,-29.785,-24.902,0.000
1744693168.647,-90.820,-31.738,-38.086,-28.809,0.000
1744693168.651,-29.785,-26.367,-32.227,-25.879,0.000
1744693168.655,35.156,-19.043,-27.832,-22.461,0.000
1744693168.659,-6.836,-15.625,-29.785,-28.320,0.000
1744693168.663,-87.891,-24.414,-38.574,-37.109,0.000
1744693168.667,-53.711,-26.367,-38.086,-31.738,0.000
1744693168.671,26.367,-20.020,-30.762,-28.809,0.000
1744693168.675,1.953,-21.973,-35.156,-36.133,0.000
1744693168.679,-87.402,-31.738,-37.598,-39.551,0.000
1744693168.683,-81.055,-33.203,-35.645,-31.738,0.000
