timestamps,TP9,AF7,AF8,TP10,Right AUX
1742957369.630,-26.855,-32.715,-34.180,-30.762,0.000
1742957369.633,-25.391,-23.926,-28.809,-28.320,0.000
1742957369.637,-27.344,-29.785,-32.715,-39.062,0.000
1742957369.641,-28.809,-33.691,-48.340,-45.410,0.000
1742957369.645,-33.203,-33.691,-46.387,-37.109,0.000
1742957369.649,-36.621,-29.297,-41.504,-37.598,0.000
1742957369.653,-35.156,-25.879,-35.645,-35.645,0.000
1742957369.657,-34.180,-31.250,-34.668,-27.832,0.000
1742957369.661,-30.762,-34.180,-38.086,-25.879,0.000
1742957369.665,-28.320,-40.527,-36.621,-24.414,0.000
1742957369.669,-34.668,-40.527,-41.016,-30.762,0.000
1742957369.672,-33.203,-30.273,-36.133,-35.156,0.000
1742957369.676,-29.297,-29.297,-24.414,-28.320,0.000
1742957369.680,-31.250,-40.039,-21.484,-26.367,0.000
1742957369.684,-29.297,-44.922,-30.762,-29.785,0.000
1742957369.688,-29.785,-30.273,-35.156,-29.297,0.000
1742957369.692,-27.832,-20.996,-26.855,-26.855,0.000
1742957369.696,-25.391,-17.090,-22.461,-16.113,0.000
1742957369.700,-31.250,-24.414,-29.297,-16.602,0.000
1742957369.704,-39.062,-35.645,-34.180,-28.809,0.000
1742957369.708,-37.109,-28.320,-32.227,-30.273,0.000
1742957369.712,-28.320,-23.438,-28.320,-26.367,0.000
1742957369.715,-22.949,-26.855,-22.461,-22.461,0.000
1742957369.719,-23.926,-24.414,-26.367,-23.438,0.000
1742957369.723,-26.367,-24.902,0.000,-27.832,0.000
1742957369.727,-22.461,-28.320,0.000,-31.250,0.000
1742957369.731,-18.555,-28.809,0.000,-26.367,0.000
1742957369.735,-23.926,-26.855,0.000,-24.414,0.000
1742957369.739,-27.344,-25.879,0.000,-31.250,0.000
1742957369.743,-25.879,-15.137,0.000,-33.691,0.000
1742957369.747,-25.391,-28.809,0.000,-36.621,0.000
1742957369.751,-29.297,-42.480,0.000,-46.387,0.000
1742957369.755,-40.039,-31.250,0.000,-40.039,0.000
1742957369.758,-41.992,-30.762,0.000,-34.668,0.000
1742957369.762,-28.809,-24.902,0.000,-35.156,0.000
1742957369.766,-23.438,-18.555,0.000,-36.133,0.000
1742957369.770,-23.438,-17.578,-36.621,-34.668,0.000
1742957369.774,-21.484,-17.578,-29.785,-32.715,0.000
1742957369.778,-32.227,-27.344,-27.344,-38.086,0.000
1742957369.782,-31.738,-34.180,-22.949,-28.320,0.000
1742957369.786,-33.691,-38.086,-24.414,-25.391,0.000
1742957369.790,-40.039,-38.574,-19.043,-35.156,0.000
1742957369.794,-27.344,-31.738,-22.949,-30.762,0.000
1742957369.797,-18.066,-27.832,-37.598,-26.367,0.000
1742957369.801,-25.391,-27.344,-26.367,-35.156,0.000
1742957369.805,-34.668,-34.668,-22.461,-34.668,0.000
1742957369.809,-35.156,-41.504,-23.438,-34.668,0.000
1742957369.813,-34.180,-41.016,-25.391,-39.551,0.000
1742957369.817,-40.039,-48.340,-26.367,-48.828,0.000
1742957369.821,-44.922,-50.293,-24.414,-47.363,0.000
1742957369.825,-41.016,-37.109,-32.227,-40.527,0.000
1742957369.829,-28.809,-29.297,-30.273,-34.180,0.000
1742957369.833,-28.809,-31.738,-29.297,-33.203,0.000
