timestamps,TP9,AF7,AF8,TP10,Right AUX
1743625109.392,-206.055,-13.672,-44.434,-214.844,0.000
1743625109.396,-228.027,-10.254,-53.711,-239.258,0.000
1743625109.400,-249.512,-10.254,-50.781,-256.836,0.000
1743625109.404,-256.348,-6.348,-50.781,-269.531,0.000
1743625109.408,-271.973,-9.766,-58.594,-286.133,0.000
1743625109.412,-277.344,-9.766,-60.059,-295.898,0.000
1743625109.416,-263.672,-5.859,-55.176,-287.109,0.000
1743625109.419,-259.766,-8.789,-55.176,-274.414,0.000
1743625109.423,-241.699,-7.324,-50.781,-260.254,0.000
1743625109.427,-212.891,-8.789,-54.199,-244.629,0.000
1743625109.431,-200.195,-17.090,-63.965,-224.609,0.000
1743625109.435,-191.406,-19.531,-63.965,-208.496,0.000
1743625109.439,-166.504,-19.043,-61.523,-190.918,0.000
1743625109.443,-144.531,-22.949,-56.641,-163.086,0.000
1743625109.447,-135.742,-26.367,-59.082,-134.277,0.000
1743625109.451,-113.770,-27.832,-57.617,-103.516,0.000
1743625109.455,-81.543,-27.344,-43.945,-86.914,0.000
1743625109.459,-58.594,-23.926,-35.645,-64.453,0.000
1743625109.462,-48.340,-27.344,-49.316,-37.598,0.000
1743625109.466,-40.527,-37.109,-56.641,-31.738,0.000
1743625109.470,-19.531,-37.109,-49.316,-27.832,0.000
1743625109.474,-2.930,-40.527,-41.992,-17.090,0.000
1743625109.478,0.000,-41.504,-41.016,-5.859,0.000
1743625109.482,7.324,-36.133,-42.969,0.977,0.000
1743625109.486,14.160,-36.133,-37.598,2.441,0.000
1743625109.490,16.113,-34.668,-33.691,7.812,0.000
1743625109.494,22.949,-32.227,-33.203,16.602,0.000
1743625109.498,23.926,-35.156,-28.320,25.391,0.000
1743625109.502,17.578,-34.180,-28.809,21.973,0.000
1743625109.505,12.207,-31.250,-30.273,34.180,0.000
1743625109.509,8.301,-35.156,-32.227,39.551,0.000
1743625109.513,13.184,-34.180,-28.809,31.250,0.000
1743625109.517,13.184,-30.273,-25.879,36.621,0.000
1743625109.521,13.672,-35.156,-21.973,36.621,0.000
1743625109.525,21.484,-37.598,-20.020,34.668,0.000
1743625109.529,21.484,-37.109,-19.531,34.668,0.000
1743625109.533,24.902,-40.039,-19.531,34.180,0.000
1743625109.537,21.484,-39.062,-18.066,32.715,0.000
1743625109.541,23.438,-34.180,-30.273,14.160,0.000
1743625109.544,45.410,-33.203,-35.645,27.832,0.000
1743625109.548,76.172,-32.715,-36.133,31.250,0.000
1743625109.552,101.074,-30.762,-41.016,18.066,0.000
1743625109.556,101.074,-34.180,-37.109,20.020,0.000
1743625109.560,48.340,-40.039,-29.785,25.879,0.000
1743625109.564,-16.113,-38.574,-22.949,34.668,0.000
1743625109.568,-19.531,-34.180,-18.555,34.180,0.000
1743625109.572,-23.438,-37.109,-18.555,32.715,0.000
1743625109.576,-26.855,-39.551,-19.531,34.668,0.000
1743625109.580,0.000,-38.086,-16.113,36.133,0.000
1743625109.584,0.000,-34.180,-17.578,32.715,0.000
1743625109.587,0.000,-33.691,-19.043,30.273,0.000
1743625109.591,0.000,-37.598,-28.809,18.066,0.000
1743625109.595,0.000,-35.645,-27.344,17.578,0.000
