timestamps,TP9,AF7,AF8,TP10,Right AUX
1743625988.015,-27.344,-37.109,-33.203,-30.273,0.000
1743625988.019,-20.508,-39.062,-29.785,-24.902,0.000
1743625988.023,-15.137,-29.785,-31.250,-23.926,0.000
1743625988.027,-15.137,-24.902,-22.949,-18.555,0.000
1743625988.031,-24.902,-31.250,-21.484,-22.949,0.000
1743625988.034,-32.715,-26.367,-25.391,-31.738,0.000
1743625988.038,-32.715,-22.461,-21.484,-27.344,0.000
1743625988.042,-24.902,-19.531,-27.832,-24.902,0.000
1743625988.046,-19.531,-10.254,-24.414,-20.020,0.000
1743625988.050,-25.391,-20.020,-25.879,-15.137,0.000
1743625988.054,-24.902,-33.691,-23.438,-18.066,0.000
1743625988.058,-24.902,-28.809,-16.113,-14.160,0.000
1743625988.062,-26.367,-31.250,-23.438,-11.719,0.000
1743625988.066,-16.113,-29.297,-20.996,-14.648,0.000
1743625988.070,-17.090,-23.438,-22.461,-22.461,0.000
1743625988.073,-31.738,-26.367,-26.367,-21.973,0.000
1743625988.077,-31.250,-27.344,-28.320,-15.137,0.000
1743625988.081,-32.715,-28.320,-32.227,-19.043,0.000
1743625988.085,-41.504,-33.203,-27.344,-23.926,0.000
1743625988.089,-51.270,-40.039,-29.297,-32.227,0.000
1743625988.093,-49.316,-49.316,-30.273,-33.691,0.000
1743625988.097,-45.410,-48.828,-29.297,-27.832,0.000
1743625988.101,-48.828,-42.480,-39.062,-29.785,0.000
1743625988.105,-38.574,-33.691,-33.203,-26.855,0.000
1743625988.109,-26.855,-42.969,-31.250,-22.461,0.000
1743625988.113,-28.320,-46.387,-39.551,-20.996,0.000
1743625988.116,-26.855,-26.367,-28.809,-18.555,0.000
1743625988.120,-31.738,-26.855,-24.414,-23.438,0.000
1743625988.124,-37.598,-30.762,-25.879,-27.344,0.000
1743625988.128,-39.062,-24.902,-23.438,-30.762,0.000
1743625988.132,-47.363,-30.273,-23.926,-36.133,0.000
1743625988.136,-41.504,-39.062,-29.297,-39.062,0.000
1743625988.140,-36.621,-43.945,-37.598,-41.016,0.000
1743625988.144,-36.621,-43.945,-34.180,-38.086,0.000
1743625988.148,-30.762,-26.855,-23.438,-28.320,0.000
1743625988.152,-31.250,-19.531,-26.855,-24.414,0.000
1743625988.156,0.000,-19.043,0.000,-22.461,0.000
1743625988.159,0.000,-22.949,0.000,-20.020,0.000
1743625988.163,0.000,-30.273,0.000,-26.855,0.000
1743625988.167,0.000,-23.926,0.000,-28.320,0.000
1743625988.171,0.000,-30.762,0.000,-34.180,0.000
1743625988.175,0.000,-40.527,0.000,-33.691,0.000
1743625988.179,0.000,-33.691,0.000,-26.367,0.000
1743625988.183,0.000,-33.203,0.000,-36.621,0.000
1743625988.187,0.000,-45.410,0.000,-42.480,0.000
1743625988.191,0.000,-46.387,0.000,-45.410,0.000
1743625988.195,0.000,-33.691,0.000,-44.434,0.000
1743625988.198,0.000,-31.250,0.000,-35.645,0.000
1743625988.202,-19.531,-27.832,-31.738,-34.668,0.000
1743625988.206,-18.066,-23.438,-33.203,-38.086,0.000
1743625988.210,-14.160,-19.531,-32.715,-29.785,0.000
1743625988.214,-10.742,-20.020,-30.762,-27.832,0.000
1743625988.218,-16.602,-32.715,-19.531,-32.227,0.000
1743625988.222,-26.855,-41.016,-27.344,-33.203,0.000
1743625988.226,-24.902,-36.133,-34.668,-29.297,0.000
1743625988.230,-20.020,-25.391,-27.344,-29.297,0.000
1743625988.234,-24.902,-37.109,-27.344,-32.715,0.000
1743625988.238,-27.832,-39.062,-25.391,-35.156,0.000
1743625988.241,-26.367,-28.809,-28.320,-35.156,0.000
1743625988.245,-22.949,-30.273,-34.180,-30.762,0.000
1743625988.249,-23.926,-31.250,0.000,-32.227,0.000
1743625988.253,-21.484,-28.320,0.000,-32.715,0.000
1743625988.257,-22.461,-30.273,0.000,-36.133,0.000
1743625988.261,-23.926,-30.273,0.000,-36.621,0.000
1743625988.265,-22.461,-30.762,0.000,-38.086,0.000
1743625988.269,-14.648,-33.203,0.000,-31.250,0.000
1743625988.273,-17.090,-29.297,0.000,-31.250,0.000
1743625988.277,-27.344,-30.273,0.000,-37.109,0.000
1743625988.281,-25.391,-31.250,0.000,-32.227,0.000
1743625988.284,-23.438,-21.484,0.000,-28.809,0.000
1743625988.288,-28.809,-20.996,0.000,-27.832,0.000
1743625988.292,-28.809,-27.344,0.000,-25.391,0.000
1743625988.296,-20.996,-23.438,-32.715,-25.391,0.000
1743625988.300,-21.484,-25.879,-38.086,-23.438,0.000
1743625988.304,-21.973,-36.621,-34.180,-21.973,0.000
1743625988.308,-19.043,-37.109,-30.762,-26.367,0.000
1743625988.312,-23.438,-38.086,-37.109,-33.691,0.000
1743625988.316,-24.414,-38.086,-35.645,-35.645,0.000
1743625988.320,-25.879,-34.180,-34.668,-37.598,0.000
1743625988.323,-27.344,-36.133,-34.668,-34.180,0.000
1743625988.327,-21.484,-33.203,-27.344,-27.832,0.000
1743625988.331,-27.344,-29.785,-30.762,-28.320,0.000
1743625988.335,-31.250,-28.809,-34.180,-29.297,0.000
1743625988.339,-32.715,-32.715,-30.762,-34.180,0.000
1743625988.343,-33.691,-36.621,-28.320,-33.691,0.000
1743625988.347,-35.645,-42.480,-27.832,-35.645,0.000
1743625988.351,-30.273,-35.645,-25.879,-36.621,0.000
1743625988.355,-24.902,-31.250,-29.297,-33.691,0.000
1743625988.359,-32.227,-40.039,-40.527,-38.086,0.000
1743625988.363,-34.180,-31.250,-33.203,-35.156,0.000
1743625988.366,-26.855,-16.602,-25.879,-28.320,0.000
1743625988.370,-25.391,-20.996,-31.738,-25.879,0.000
1743625988.374,-32.227,-21.973,-32.227,-22.949,0.000
1743625988.378,-36.621,-33.203,-29.297,-27.832,0.000
1743625988.382,-28.809,-45.410,-35.156,-31.250,0.000
