timestamps,TP9,AF7,AF8,TP10,Right AUX
1743625647.142,-20.996,-21.973,-32.715,-27.344,0.000
1743625647.145,-22.461,-25.391,-30.273,-21.484,0.000
1743625647.149,-25.391,-29.785,-24.902,-18.555,0.000
1743625647.153,-15.137,-32.715,-23.926,-19.531,0.000
1743625647.157,-13.672,-30.273,-29.297,-23.926,0.000
1743625647.161,-2.930,-25.879,-32.715,-29.297,0.000
1743625647.165,-20.508,-30.762,-32.227,-23.438,0.000
1743625647.169,-40.039,-34.668,-36.621,-18.555,0.000
1743625647.173,-35.645,-32.227,-34.668,-21.484,0.000
1743625647.177,-36.621,-31.738,-27.832,-24.414,0.000
1743625647.181,-29.785,-28.320,-25.879,-19.531,0.000
1743625647.185,-26.855,-30.762,-27.344,-17.578,0.000
1743625647.185,-26.855,-30.762,-27.344,-17.578,0.000
1743625647.188,-21.973,-31.738,-27.832,-17.578,0.000
1743625647.192,-15.625,-28.809,-26.367,-9.277,0.000
1743625647.196,-18.555,-30.762,-24.414,-8.789,0.000
1743625647.200,-20.508,-30.762,-29.297,-17.578,0.000
1743625647.204,-23.926,-33.203,-29.785,-18.066,0.000
1743625647.208,-28.320,-36.621,-33.203,-20.508,0.000
1743625647.212,-23.438,-42.480,-35.645,-22.949,0.000
1743625647.216,-20.996,-38.086,-32.715,-22.949,0.000
1743625647.220,-21.973,-32.715,-32.227,-26.367,0.000
1743625647.224,-20.996,-31.738,-31.250,-26.367,0.000
1743625647.227,-23.438,-30.273,-29.297,-25.391,0.000
1743625647.231,-32.715,-37.109,-29.297,-28.320,0.000
1743625647.235,-29.297,-37.598,-30.762,-26.855,0.000
1743625647.239,-23.438,-29.785,-29.297,-20.508,0.000
1743625647.243,-23.926,-24.902,-26.855,-20.508,0.000
1743625647.247,-22.461,-23.438,-26.855,-21.973,0.000
1743625647.251,-28.320,-27.832,-26.855,-27.832,0.000
1743625647.255,-36.133,-25.391,-24.414,-31.250,0.000
1743625647.259,-29.785,-24.414,-24.902,-20.020,0.000
1743625647.263,-23.438,-30.273,-24.414,-19.531,0.000
1743625647.267,-30.762,-29.297,-25.391,-31.250,0.000
1743625647.270,-33.691,-29.297,-23.926,-38.086,0.000
1743625647.274,-40.527,-34.668,-23.926,-44.434,0.000
1743625647.278,-41.016,-32.227,-32.715,-45.898,0.000
1743625647.282,-26.855,-26.855,-35.156,-45.898,0.000
1743625647.286,-26.855,-26.855,-33.203,-47.363,0.000
1743625647.290,-38.574,-27.832,-32.227,-46.387,0.000
1743625647.294,-36.621,-31.250,-32.715,-44.922,0.000
1743625647.298,-42.969,-38.574,-31.250,-41.016,0.000
1743625647.302,-52.734,-40.039,-37.109,-47.852,0.000
1743625647.306,-45.410,-38.086,-45.410,-57.617,0.000
1743625647.310,-37.598,-39.551,-41.016,-49.805,0.000
