timestamps,TP9,AF7,AF8,TP10,Right AUX
1743562993.691,-35.156,-30.762,0.000,-28.809,0.000
1743562993.695,-34.180,-25.391,0.000,-30.762,0.000
1743562993.699,-25.391,-30.762,0.000,-33.203,0.000
1743562993.703,-17.090,-31.738,0.000,-26.855,0.000
1743562993.707,-22.949,-28.809,0.000,-28.320,0.000
1743562993.711,-27.344,-28.320,0.000,-25.879,0.000
1743562993.715,-25.879,-21.973,0.000,-29.297,0.000
1743562993.719,-25.391,-20.020,0.000,-29.297,0.000
1743562993.723,-25.391,-22.949,-18.555,-28.809,0.000
1743562993.727,-22.461,-28.320,-25.879,-31.738,0.000
1743562993.731,-20.020,-42.480,-36.133,-39.551,0.000
1743562993.734,-20.020,-41.016,-34.180,-23.438,0.000
1743562993.738,-28.320,-28.320,-23.926,-29.785,0.000
1743562993.742,-28.809,-26.367,-26.367,-50.293,0.000
1743562993.746,-18.066,-28.320,-24.902,-28.809,0.000
1743562993.750,-33.691,-35.156,-26.367,-26.367,0.000
1743562993.754,-47.852,-37.598,-36.133,-34.668,0.000
1743562993.758,-41.016,-32.715,-39.062,-39.062,0.000
1743562993.762,-38.574,-29.297,-36.133,-35.645,0.000
1743562993.766,-34.668,-29.297,-33.691,-27.344,0.000
1743562993.770,-36.621,-33.691,-28.320,-23.438,0.000
1743562993.774,-42.480,-40.527,-25.391,-38.086,0.000
1743562993.777,-39.551,-38.574,-25.391,-40.527,0.000
1743562993.781,-41.016,-34.180,-26.855,-35.156,0.000
1743562993.785,-43.457,-39.062,-30.273,-30.762,0.000
1743562993.789,-30.273,-31.738,-22.949,-23.438,0.000
1743562993.793,-27.832,-25.879,-23.926,-28.320,0.000
1743562993.797,-30.273,-29.297,-29.785,-22.949,0.000
1743562993.801,-32.227,-29.297,-22.949,-22.949,0.000
1743562993.805,-24.902,-32.715,-18.555,-30.762,0.000
1743562993.809,-22.949,-38.574,-26.855,-33.691,0.000
1743562993.812,-31.738,-42.480,-39.062,-30.762,0.000
1743562993.817,-29.297,-38.086,-44.434,-40.039,0.000
1743562993.820,-23.438,-31.250,-34.180,-30.762,0.000
1743562993.824,-19.531,-33.691,-23.438,-24.414,0.000
1743562993.828,-19.043,-31.738,-28.320,-36.133,0.000
1743562993.832,-29.785,-26.367,-26.367,-33.203,0.000
1743562993.836,-29.297,-29.297,-24.414,-20.996,0.000
1743562993.840,-24.414,-35.156,-26.855,-27.344,0.000
1743562993.844,-34.668,-37.109,-26.855,-38.086,0.000
1743562993.848,-36.133,-34.668,-32.715,-36.621,0.000
1743562993.852,-30.762,-35.156,-38.574,-44.922,0.000
1743562993.855,-33.203,-33.203,-35.156,-30.762,0.000
1743562993.859,-38.086,-27.832,-25.391,-23.438,0.000
1743562993.863,-29.785,-28.320,-29.785,-42.480,0.000
1743562993.867,-36.621,-26.855,-34.668,-37.598,0.000
1743562993.871,-51.270,-23.926,-31.738,-20.020,0.000
1743562993.875,-40.527,-29.785,-27.344,-28.320,0.000
1743562993.879,-36.133,-30.762,-23.438,-45.898,0.000
1743562993.883,-40.527,-28.809,-26.367,-55.664,0.000
1743562993.887,-25.879,-23.926,-28.320,-44.922,0.000
1743562993.891,-31.250,-25.391,-29.297,-37.598,0.000
1743562993.895,-46.875,-40.039,-34.180,-46.387,0.000
1743562993.898,-41.504,-43.457,-34.668,-51.758,0.000
1743562993.902,-35.156,-35.156,-33.203,-38.574,0.000
1743562993.906,-31.250,-36.133,-34.668,-47.363,0.000
1743562993.910,-27.344,-38.086,-34.668,-49.316,0.000
1743562993.914,-19.043,-34.180,-36.621,-36.621,0.000
1743562993.918,-18.066,-27.832,-32.227,-30.273,0.000
1743562993.922,-15.137,-18.555,-24.414,-20.996,0.000
1743562993.926,-16.113,-23.926,-35.645,-29.297,0.000
1743562993.930,-22.949,-31.250,-44.922,-42.480,0.000
1743562993.934,-25.879,-35.156,-46.875,-29.297,0.000
1743562993.938,-16.113,-35.156,-42.969,-12.207,0.000
1743562993.941,-6.836,-35.645,-38.086,-29.297,0.000
1743562993.945,-17.090,-29.785,-29.297,-31.738,0.000
1743562993.949,-17.090,-22.461,-23.926,-26.367,0.000
1743562993.953,-20.020,-28.809,-32.227,-45.898,0.000
1743562993.957,-29.785,-35.156,-36.133,-31.738,0.000
1743562993.961,-30.762,-30.273,-32.715,-19.531,0.000
1743562993.965,-32.715,-18.555,-26.855,-21.484,0.000
1743562993.969,-31.738,-20.508,-27.832,-26.367,0.000
1743562993.973,-22.461,-33.203,-32.227,-34.668,0.000
1743562993.977,-31.738,-33.691,-30.273,-31.738,0.000
1743562993.981,-33.203,-27.344,-31.250,-26.855,0.000
1743562993.984,-32.227,-33.203,-37.109,-41.992,0.000
1743562993.988,-33.203,-37.109,-37.598,-32.715,0.000
1743562993.992,-31.250,-33.203,-33.203,-16.113,0.000
1743562993.996,-32.227,-29.785,-29.785,-14.648,0.000
1743562994.000,-37.109,-30.762,-35.645,-17.090,0.000
1743562994.004,-41.016,-37.109,-37.598,-22.949,0.000
1743562994.008,-29.297,-39.062,-25.879,-12.695,0.000
1743562994.012,-29.785,-34.668,-16.602,-7.324,0.000
1743562994.016,-36.133,-37.598,-24.414,-17.090,0.000
1743562994.020,-29.785,-36.133,-33.203,-10.742,0.000
1743562994.023,-33.203,-26.367,-23.438,-16.113,0.000
1743562994.027,-36.133,-18.555,-16.113,-27.344,0.000
1743562994.031,-27.832,-19.043,-18.555,-13.672,0.000
1743562994.035,-18.555,-22.461,-11.719,-3.906,0.000
1743562994.039,-17.578,-24.414,-15.137,-14.648,0.000
1743562994.043,-21.484,-23.926,-25.391,-19.043,0.000
1743562994.047,-15.625,-23.438,-36.133,-25.879,0.000
1743562994.051,-12.695,-26.855,-41.504,-29.785,0.000
1743562994.055,-30.273,-31.738,-30.762,-35.156,0.000
1743562994.059,-26.855,-27.344,-28.809,-34.180,0.000
1743562994.063,-20.508,-23.926,-32.715,-26.855,0.000
1743562994.066,-23.926,-24.902,-26.855,-23.926,0.000
1743562994.070,-16.113,-20.508,-28.809,-22.949,0.000
1743562994.074,-20.020,-26.367,-36.621,-20.020,0.000
1743562994.078,-32.227,-34.180,-36.133,-24.902,0.000
1743562994.082,-22.949,-30.762,-35.645,-29.297,0.000
1743562994.086,-28.320,-28.809,-38.086,-23.438,0.000
1743562994.090,-41.992,-29.785,-33.691,-29.785,0.000
1743562994.094,-30.273,-29.297,-31.250,-35.645,0.000
1743562994.098,-23.438,-25.391,-36.621,-37.109,0.000
1743562994.102,-32.227,-20.996,-39.062,-34.180,0.000
1743562994.106,-33.203,-21.973,-35.645,-26.367,0.000
1743562994.109,-32.227,-23.926,-37.598,-29.297,0.000
1743562994.113,-31.738,-32.227,-39.062,-27.832,0.000
1743562994.117,-38.086,-32.715,-28.809,-16.113,0.000
1743562994.121,-35.645,-34.180,-25.879,-12.207,0.000
1743562994.125,-32.715,-39.551,-34.668,-19.531,0.000
1743562994.129,-37.109,-36.621,-28.809,-24.414,0.000
1743562994.133,-34.668,-27.832,-26.367,-22.949,0.000
1743562994.137,-36.621,-28.320,-32.227,-26.855,0.000
1743562994.141,-41.016,-37.109,-34.668,-26.367,0.000
1743562994.145,-34.668,-31.250,-38.574,-20.508,0.000
1743562994.149,-41.992,-31.738,-41.504,-25.391,0.000
1743562994.152,-47.363,-38.574,-41.992,-33.691,0.000
1743562994.156,-32.715,-34.668,-36.621,-37.598,0.000
1743562994.160,-24.414,-28.809,-29.785,-34.180,0.000
1743562994.164,-28.320,-28.809,-26.855,-25.879,0.000
1743562994.168,-31.250,-32.227,-26.855,-33.691,0.000
1743562994.172,-39.062,-35.645,-29.297,-39.062,0.000
1743562994.176,-41.016,-35.156,-34.180,-30.273,0.000
1743562994.180,-32.227,-33.691,-37.109,-27.832,0.000
1743562994.184,-37.598,-33.203,-35.645,-34.668,0.000
1743562994.187,-41.504,-30.762,-41.504,-34.668,0.000
1743562994.192,-25.879,-28.809,-45.410,-25.391,0.000
1743562994.195,-22.949,-24.902,-33.203,-35.645,0.000
1743562994.199,-20.508,-24.902,-19.531,-43.457,0.000
1743562994.203,-9.766,-38.574,-24.902,-41.992,0.000
1743562994.207,-15.625,-39.551,-25.391,-52.246,0.000
1743562994.211,-31.250,-26.855,-19.531,-46.875,0.000
1743562994.215,-27.832,-24.414,-21.973,-37.109,0.000
1743562994.219,-23.926,-22.949,-22.949,-34.668,0.000
1743562994.223,-35.645,-25.879,-29.785,-36.621,0.000
1743562994.227,-22.461,-22.949,-33.203,-47.363,0.000
1743562994.230,-7.324,-19.531,-41.016,-42.969,0.000
1743562994.234,-12.207,-21.973,-39.062,-30.273,0.000
1743562994.238,-25.391,-22.949,-25.391,-23.926,0.000
1743562994.242,-38.574,-22.461,-28.809,-21.484,0.000
