timestamps,TP9,AF7,AF8,TP10,Right AUX
1745670684.521,-37.598,-17.090,-75.684,-88.379,0.000
1745670684.525,-37.598,-15.137,-85.938,-85.938,0.000
1745670684.529,5.859,-2.441,-65.918,-30.762,0.000
1745670684.533,15.137,1.953,-54.688,-37.109,0.000
1745670684.536,-4.883,-5.859,-83.984,-77.148,0.000
1745670684.540,-11.230,-16.602,-98.145,-77.637,0.000
1745670684.544,0.977,-10.742,-80.078,-51.270,0.000
1745670684.548,21.484,-1.953,-58.594,-22.949,0.000
1745670684.552,15.625,-2.930,-54.199,-31.738,0.000
1745670684.556,-3.418,-14.160,-83.984,-56.641,0.000
1745670684.560,-0.488,-16.602,-73.730,-43.945,0.000
1745670684.564,14.160,-18.066,-43.457,-7.812,0.000
1745670684.568,10.254,-24.902,-46.875,-13.184,0.000
1745670684.572,-23.926,-33.691,-86.426,-52.246,0.000
1745670684.576,-21.973,-27.344,-76.660,-45.898,0.000
1745670684.579,23.438,-5.859,-41.016,-11.719,0.000
1745670684.583,23.926,0.000,-34.668,-14.648,0.000
1745670684.587,-20.508,-20.508,-48.340,-45.410,0.000
1745670684.591,-29.297,-31.738,-60.547,-46.387,0.000
1745670684.595,0.000,-22.949,-50.293,-16.113,0.000
1745670684.599,7.324,-19.531,-32.715,-4.395,0.000
1745670684.603,-14.160,-21.484,-39.062,-28.320,0.000
1745670684.607,-28.320,-33.691,-67.871,-51.758,0.000
1745670684.611,-11.719,-38.574,-55.664,-37.598,0.000
1745670684.615,7.812,-15.625,-36.133,7.324,0.000
1745670684.619,-3.906,-17.578,-42.969,-5.859,0.000
1745670684.622,-34.180,-37.109,-63.477,-42.480,0.000
1745670684.626,-33.203,-39.062,-47.363,-31.738,0.000
1745670684.630,-2.441,-30.273,-21.484,3.418,0.000
1745670684.634,4.883,-23.926,-28.809,6.836,0.000
1745670684.638,-22.461,-31.250,-51.758,-42.480,0.000
1745670684.642,-34.180,-41.504,-51.758,-44.922,0.000
1745670684.646,-6.836,-26.855,-30.762,0.977,0.000
1745670684.650,-5.371,-22.461,-28.320,-13.184,0.000
1745670684.654,-43.945,-35.156,-42.969,-38.574,0.000
1745670684.658,-53.711,-34.180,-60.059,-38.086,0.000
1745670684.661,-18.555,-25.391,-47.363,-11.719,0.000
1745670684.665,-3.418,-23.926,-10.254,18.555,0.000
1745670684.669,-32.227,-37.598,-29.297,-18.555,0.000
1745670684.673,-58.105,-50.293,-68.848,-64.941,0.000
1745670684.677,-42.969,-41.504,-37.109,-27.832,0.000
1745670684.681,-11.719,-21.973,-3.418,2.930,0.000
1745670684.685,-23.438,-31.250,-26.855,-26.855,0.000
1745670684.689,-56.152,-49.316,-53.711,-47.363,0.000
1745670684.693,-44.922,-41.016,-51.758,-33.203,0.000
1745670684.697,-17.578,-26.367,-25.879,-2.441,0.000
