timestamps,TP9,AF7,AF8,TP10,Right AUX
1745697923.860,-116.211,-2.930,-10.254,-63.477,0.000
1745697923.864,-123.047,31.250,10.254,-44.922,0.000
1745697923.868,48.340,-30.273,4.883,-61.035,0.000
1745697923.872,-116.699,-85.449,-25.879,-143.066,0.000
1745697923.876,-367.676,-47.852,-28.320,-77.148,0.000
1745697923.879,-93.750,39.551,10.742,-11.230,0.000
1745697923.883,-151.855,-1.953,6.348,-71.777,0.000
1745697923.887,15.625,-81.543,-20.508,-144.531,0.000
1745697923.891,-133.789,-53.223,-12.207,-90.820,0.000
1745697923.895,-186.035,9.766,28.320,-46.387,0.000
1745697923.899,3.906,10.742,39.551,-98.633,0.000
1745697923.903,-125.977,-70.801,-7.324,-118.652,0.000
1745697923.907,-59.082,-75.195,-20.996,-67.871,0.000
1745697923.911,58.105,14.160,23.438,-47.363,0.000
1745697923.915,-103.027,2.441,51.758,-115.723,0.000
1745697923.919,-138.184,-62.012,10.254,-120.605,0.000
1745697923.922,-41.992,-68.359,-14.160,-81.055,0.000
1745697923.926,-114.746,-22.461,42.969,-41.016,0.000
1745697923.930,-38.086,14.160,56.152,-30.273,0.000
1745697923.934,-92.773,-51.758,33.691,-64.453,0.000
1745697923.938,-34.668,-93.262,0.977,-92.773,0.000
1745697923.942,76.172,-43.945,18.066,-78.613,0.000
1745697923.946,-136.230,12.207,53.223,-47.363,0.000
1745697923.950,-206.055,-14.160,40.527,-57.617,0.000
1745697923.954,15.137,-80.566,12.695,-117.676,0.000
1745697923.958,-43.945,-59.570,0.000,-110.352,0.000
1745697923.961,-2.930,21.973,39.551,-13.672,0.000
1745697923.965,-22.949,8.301,62.500,-58.105,0.000
1745697923.969,-139.160,-66.895,0.488,-124.512,0.000
1745697923.973,20.996,-56.641,-12.695,-30.273,0.000
1745697923.977,-80.566,-1.465,32.227,13.184,0.000
1745697923.981,-193.359,-8.789,30.762,-30.273,0.000
1745697923.985,7.812,-52.246,-10.254,-73.242,0.000
1745697923.989,27.344,-75.684,-23.438,-47.852,0.000
1745697923.993,7.324,-27.832,22.461,-45.898,0.000
1745697923.997,34.668,19.043,37.109,-63.965,0.000
1745697924.001,58.105,-23.438,-7.812,-20.996,0.000
1745697924.004,-17.090,-74.707,-36.133,-66.895,0.000
1745697924.008,-55.176,-24.414,-20.508,-40.527,0.000
1745697924.012,-46.387,18.066,23.926,19.043,0.000
1745697924.016,39.062,-9.277,23.438,-28.809,0.000
1745697924.020,26.367,-51.270,-28.809,-78.125,0.000
1745697924.024,-167.480,-56.641,-46.875,-78.613,0.000
1745697924.028,-108.887,-23.438,5.371,31.250,0.000
1745697924.032,138.184,-1.465,8.789,44.434,0.000
1745697924.036,127.441,-51.758,-42.969,-29.297,0.000
1745697924.040,22.949,-70.801,-50.293,-35.156,0.000
1745697924.044,-9.766,-11.230,0.488,9.766,0.000
1745697924.047,-61.035,20.508,13.184,-4.883,0.000
1745697924.051,-62.500,-32.227,-30.273,-57.617,0.000
1745697924.055,-52.246,-85.938,-30.762,-61.035,0.000
1745697924.059,-63.477,-33.203,-7.812,-50.293,0.000
1745697924.063,2.930,26.855,1.953,-5.859,0.000
1745697924.067,26.855,0.000,-26.367,-3.906,0.000
1745697924.071,26.855,-55.176,-62.500,-43.945,0.000
1745697924.075,49.316,-41.992,-49.316,-32.227,0.000
1745697924.079,12.207,9.766,-1.953,-0.977,0.000
1745697924.083,-74.707,-14.160,-15.625,-25.879,0.000
1745697924.086,-24.414,-71.777,-57.129,-49.805,0.000
1745697924.090,50.781,-57.129,-51.270,-27.832,0.000
1745697924.094,-0.977,13.184,-12.695,-3.418,0.000
1745697924.098,42.969,30.762,-5.371,1.465,0.000
1745697924.102,43.457,-50.293,-47.363,-32.227,0.000
1745697924.106,-24.414,-68.848,-59.570,-60.547,0.000
1745697924.110,-43.457,-3.906,-20.996,-30.273,0.000
1745697924.114,-16.602,32.715,2.930,13.184,0.000
1745697924.118,14.160,-8.789,-27.832,-11.230,0.000
1745697924.122,-7.324,-78.613,-65.430,-47.363,0.000
1745697924.126,-47.852,-47.852,-39.551,-30.762,0.000
1745697924.129,-40.039,9.277,-1.465,8.789,0.000
1745697924.133,21.973,-18.066,-23.438,-2.441,0.000
1745697924.137,0.488,-63.965,-61.035,-51.270,0.000
1745697924.141,-29.297,-48.828,-43.457,-29.785,0.000
1745697924.145,-2.441,12.207,-4.395,3.418,0.000
1745697924.149,-2.930,2.930,-13.672,-6.348,0.000
1745697924.153,-9.766,-70.312,-56.641,-45.898,0.000
1745697924.157,-19.531,-67.871,-56.152,-52.246,0.000
