timestamps,TP9,AF7,AF8,TP10,Right AUX
1745696335.725,-27.832,-17.578,-20.996,-23.926,0.000
1745696335.729,-45.410,-35.645,-41.016,-34.668,0.000
1745696335.733,-42.480,-55.176,-53.711,-46.387,0.000
1745696335.737,-27.344,-37.598,-37.109,-36.621,0.000
1745696335.740,-20.020,2.441,-23.926,-25.391,0.000
1745696335.744,-30.762,-0.977,-28.809,-25.391,0.000
1745696335.748,-44.434,-40.527,-50.781,-38.574,0.000
1745696335.752,-38.574,-62.500,-58.594,-53.223,0.000
1745696335.756,-30.762,-41.016,-35.156,-39.062,0.000
1745696335.760,-33.203,-20.996,-19.043,-20.996,0.000
1745696335.764,-40.527,-31.250,-42.969,-37.598,0.000
1745696335.768,-41.992,-51.270,-55.664,-58.105,0.000
1745696335.772,-34.668,-39.551,-34.668,-44.922,0.000
1745696335.776,-36.133,-18.066,-23.438,-29.297,0.000
1745696335.780,-45.410,-35.156,-36.621,-39.551,0.000
1745696335.783,-43.457,-52.246,-54.688,-50.293,0.000
1745696335.787,-29.297,-29.785,-46.875,-34.668,0.000
1745696335.791,-29.297,1.465,-22.949,-20.996,0.000
1745696335.795,-41.016,-18.555,-23.926,-23.926,0.000
1745696335.799,-41.016,-57.617,-41.016,-32.715,0.000
1745696335.803,-34.180,-52.246,-42.480,-33.691,0.000
1745696335.807,-28.809,-32.715,-35.645,-17.090,0.000
1745696335.811,-36.133,-34.668,-39.062,-17.578,0.000
1745696335.815,-42.969,-46.875,-47.363,-36.133,0.000
1745696335.819,-25.879,-39.551,-42.480,-39.062,0.000
1745696335.822,-17.090,-12.695,-27.344,-21.484,0.000
1745696335.826,-29.297,-7.324,-19.531,-10.742,0.000
1745696335.830,-42.480,-43.457,-35.156,-30.762,0.000
1745696335.834,-40.527,-57.617,-55.176,-47.363,0.000
1745696335.838,-27.832,-14.648,-41.504,-26.855,0.000
1745696335.842,-27.832,14.648,-25.879,-11.719,0.000
1745696335.846,-35.156,-27.344,-32.715,-27.344,0.000
1745696335.850,-41.016,-75.684,-52.246,-43.457,0.000
1745696335.854,-34.668,-48.828,-50.293,-39.062,0.000
1745696335.858,-23.926,-7.812,-36.133,-26.855,0.000
1745696335.862,-34.668,-26.855,-32.227,-23.438,0.000
1745696335.865,-41.016,-56.641,-48.340,-39.062,0.000
1745696335.869,-20.996,-33.203,-40.527,-36.133,0.000
1745696335.873,-12.207,-4.395,-21.973,-16.602,0.000
1745696335.877,-24.902,-13.672,-23.438,-12.695,0.000
1745696335.881,-32.715,-45.410,-42.969,-30.762,0.000
1745696335.885,-27.344,-41.016,-55.664,-43.945,0.000
1745696335.889,-11.230,-13.184,-36.133,-19.531,0.000
1745696335.893,-9.277,-12.207,-22.461,-8.789,0.000
1745696335.897,-29.785,-45.898,-37.598,-30.762,0.000
1745696335.901,-34.180,-58.105,-50.293,-38.574,0.000
1745696335.905,-19.043,-18.066,-39.551,-26.367,0.000
1745696335.908,-25.879,-9.277,-25.879,-20.996,0.000
1745696335.912,-48.828,-47.363,-39.551,-44.922,0.000
1745696335.916,-38.086,-47.852,-48.828,-57.129,0.000
1745696335.920,-17.578,-9.766,-42.969,-37.109,0.000
1745696335.924,-30.273,-17.090,-41.016,-25.879,0.000
