timestamps,TP9,AF7,AF8,TP10,Right AUX
1742953274.715,-0.488,-16.602,-29.785,-21.484,0.000
1742953274.719,68.359,-14.160,-35.156,-28.320,0.000
1742953274.723,-79.590,-15.137,-29.785,-11.719,0.000
1742953274.727,-108.398,-17.578,-24.414,-1.953,0.000
1742953274.731,-26.855,-17.578,-29.785,-10.254,0.000
1742953274.735,-20.020,-16.602,-27.832,-2.930,0.000
1742953274.738,-56.641,-17.090,-20.996,-9.277,0.000
1742953274.742,-65.918,-17.578,-20.996,-27.832,0.000
1742953274.746,-19.043,-18.066,-22.461,-27.344,0.000
1742953274.750,7.324,-20.020,-23.926,-27.344,0.000
1742953274.754,-12.207,-20.508,-29.785,-23.438,0.000
1742953274.758,-33.203,-27.344,-33.691,-20.996,0.000
1742953274.762,-22.461,-31.250,-32.715,-16.602,0.000
1742953274.766,-43.457,-37.598,-25.879,-7.324,0.000
1742953274.770,-16.602,-32.227,-19.531,-2.930,0.000
1742953274.774,8.301,-19.043,-24.414,-20.020,0.000
1742953274.777,40.527,-17.090,-31.738,-30.273,0.000
1742953274.781,-5.371,-19.043,-28.809,-18.066,0.000
1742953274.785,-60.547,-26.855,-30.762,-11.230,0.000
1742953274.789,-21.973,-29.297,-30.273,-13.184,0.000
1742953274.793,-17.578,-24.414,-28.809,-18.555,0.000
1742953274.797,-7.812,-22.461,-26.367,-8.789,0.000
1742953274.801,0.000,-24.902,-21.973,-8.789,0.000
1742953274.805,-9.277,-22.949,-25.879,-31.250,0.000
1742953274.809,-28.809,-15.625,-30.762,-30.762,0.000
1742953274.813,-39.062,-15.625,-28.809,-20.020,0.000
1742953274.817,-20.020,-23.438,-25.391,-12.695,0.000
1742953274.820,-44.922,-34.180,-27.832,-14.648,0.000
1742953274.824,-31.738,-39.551,-31.738,-20.508,0.000
1742953274.828,5.371,-39.062,-22.949,-16.602,0.000
1742953274.832,-26.855,-39.062,-20.020,-22.949,0.000
1742953274.836,-45.898,-33.691,-31.250,-28.809,0.000
1742953274.840,-38.086,-26.367,-35.645,-37.109,0.000
1742953274.844,-69.336,-30.762,-30.273,-39.062,0.000
1742953274.848,7.324,-28.320,-32.715,-30.273,0.000
1742953274.852,7.324,-24.902,-35.645,-28.809,0.000
1742953274.856,-64.941,-38.574,-29.297,-16.602,0.000
1742953274.860,-46.875,-35.156,-24.902,-10.742,0.000
1742953274.863,-42.969,-22.949,-22.949,-17.578,0.000
1742953274.867,-22.949,-21.973,-18.555,-14.160,0.000
1742953274.871,-7.324,-17.090,-20.508,-10.742,0.000
1742953274.875,-12.207,-23.926,-20.508,-17.090,0.000
1742953274.879,-22.461,-24.414,-18.066,-13.672,0.000
1742953274.883,-34.180,-23.926,-17.090,-9.766,0.000
1742953274.887,-23.438,-35.645,-21.973,-29.785,0.000
1742953274.891,-22.949,-31.738,-28.320,-38.574,0.000
1742953274.895,-50.781,-22.461,-28.809,-39.551,0.000
1742953274.899,-25.879,-24.902,-28.809,-37.109,0.000
1742953274.902,-4.395,-33.691,-36.133,-38.086,0.000
1742953274.906,-20.508,-43.945,-32.715,-34.180,0.000
1742953274.910,0.977,-43.945,-24.414,-22.949,0.000
1742953274.914,28.320,-37.109,-29.785,-34.180,0.000
1742953274.918,14.648,-35.156,-34.668,-48.340,0.000
1742953274.922,-4.883,-38.574,-29.785,-34.668,0.000
1742953274.926,-2.441,-48.340,-20.508,-14.648,0.000
1742953274.930,-13.184,-45.898,-20.508,-19.043,0.000
1742953274.934,-24.902,-29.785,-27.832,-41.504,0.000
1742953274.938,-64.453,-14.648,-31.738,-64.941,0.000
1742953274.941,-45.898,-13.672,-33.203,-66.895,0.000
1742953274.945,-28.809,-14.648,-36.621,-67.383,0.000
1742953274.949,-24.902,-10.742,-30.762,-67.383,0.000
1742953274.953,-39.062,-6.836,-35.156,-70.801,0.000
1742953274.957,-24.902,-2.441,-36.621,-66.406,0.000
1742953274.961,-13.672,-5.859,-28.320,-49.316,0.000
1742953274.965,-39.551,-9.766,-33.691,-41.992,0.000
1742953274.969,-15.137,-9.277,-37.109,-36.621,0.000
1742953274.973,-26.367,-18.555,-31.250,-36.133,0.000
1742953274.977,-13.672,-22.949,-27.832,-46.387,0.000
1742953274.981,-2.930,-17.578,-40.039,-47.852,0.000
1742953274.984,-18.066,-14.160,-43.457,-38.574,0.000
1742953274.988,-31.738,-16.113,-38.574,-42.480,0.000
1742953274.992,-2.930,-20.020,-41.504,-45.898,0.000
1742953274.996,0.000,-16.602,-40.039,-42.480,0.000
1742953275.000,0.000,-18.066,-33.691,-41.992,0.000
1742953275.004,0.000,-15.137,-39.062,-46.875,0.000
1742953275.008,0.000,-13.672,-38.086,-51.270,0.000
1742953275.012,0.000,-23.926,-28.320,-38.086,0.000
1742953275.016,0.000,-23.926,-28.320,-25.879,0.000
1742953275.020,0.000,-15.137,-38.574,-41.992,0.000
1742953275.024,0.000,-16.113,-40.527,-48.828,0.000
1742953275.027,0.000,-20.996,-36.621,-38.574,0.000
1742953275.031,0.000,-26.855,-41.992,-43.457,0.000
1742953275.035,0.000,-26.855,-44.434,-46.875,0.000
1742953275.039,0.000,-31.250,-45.410,-48.828,0.000
1742953275.043,-58.105,-31.250,-41.016,-62.500,0.000
1742953275.047,-46.875,-28.809,-28.809,-51.758,0.000
1742953275.051,-50.781,-28.320,-21.973,-23.926,0.000
1742953275.055,-44.434,-24.902,-25.879,-30.762,0.000
1742953275.059,-9.277,-29.297,-26.855,-46.387,0.000
1742953275.063,-20.020,-22.461,-20.020,-26.855,0.000
1742953275.067,-45.898,-23.926,-22.949,-26.855,0.000
1742953275.070,-33.691,-34.668,-30.762,-38.574,0.000
1742953275.074,-25.879,-31.738,-32.715,-29.297,0.000
1742953275.078,-7.812,-24.414,-34.180,-21.484,0.000
1742953275.082,-17.090,-22.949,-30.273,-14.160,0.000
1742953275.086,-23.926,-20.996,-30.762,-21.484,0.000
1742953275.090,0.000,-21.484,-29.785,-33.203,0.000
1742953275.094,0.000,-20.508,-22.949,-29.297,0.000
1742953275.098,0.000,-13.672,-27.344,-29.297,0.000
1742953275.102,0.000,-10.254,-30.762,-38.086,0.000
1742953275.106,0.000,-15.625,-30.762,-33.203,0.000
1742953275.109,0.000,-21.973,-29.785,-16.113,0.000
1742953275.113,0.000,-25.391,-30.273,-11.230,0.000
