timestamps,TP9,AF7,AF8,TP10,Right AUX
1742953576.662,-25.391,-34.180,-31.738,-30.273,0.000
1742953576.666,-27.344,-21.973,-29.785,-29.785,0.000
1742953576.670,-37.109,-21.973,-32.715,-27.344,0.000
1742953576.674,-32.227,-31.738,-38.086,-31.738,0.000
1742953576.678,-19.043,-24.902,-27.832,-31.250,0.000
1742953576.682,-11.230,-16.113,-19.531,-25.391,0.000
1742953576.686,-0.488,-21.973,-27.832,-25.879,0.000
1742953576.690,-21.973,-31.738,-37.109,-35.645,0.000
1742953576.693,-43.457,-36.621,-42.480,-46.387,0.000
1742953576.697,-40.527,-31.738,-41.016,-51.270,0.000
1742953576.701,-45.410,-22.949,-36.621,-49.316,0.000
1742953576.705,-47.363,-22.461,-37.109,-50.293,0.000
1742953576.705,-47.363,-22.461,-37.109,-50.293,0.000
1742953576.709,-57.617,-23.438,-36.133,-43.457,0.000
1742953576.713,-45.898,-23.926,-30.762,-32.227,0.000
1742953576.717,-35.156,-26.855,-27.832,-36.133,0.000
1742953576.721,-32.715,-33.691,-31.738,-36.133,0.000
1742953576.725,-28.809,-34.180,-37.109,-39.062,0.000
1742953576.729,-45.898,-34.180,-41.016,-45.410,0.000
1742953576.732,-46.387,-36.133,-45.410,-45.410,0.000
1742953576.736,-29.785,-31.738,-43.457,-43.945,0.000
1742953576.740,-36.621,-28.809,-31.250,-35.156,0.000
1742953576.744,-26.367,-27.832,-24.902,-26.367,0.000
1742953576.748,-0.488,-15.625,-21.973,-19.043,0.000
1742953576.752,-22.461,-15.625,-21.973,-19.043,0.000
1742953576.756,-34.180,-24.902,-29.297,-21.484,0.000
1742953576.760,-26.855,-20.996,-30.273,-20.996,0.000
1742953576.764,-26.855,-22.949,-31.250,-27.832,0.000
1742953576.768,-34.180,-22.461,-28.320,-34.180,0.000
1742953576.772,-34.180,-20.508,-31.250,-37.598,0.000
1742953576.775,-17.578,-21.973,-41.504,-36.621,0.000
1742953576.779,-30.273,-21.484,-35.645,-26.367,0.000
