timestamps,TP9,AF7,AF8,TP10,Right AUX
1742954599.831,0.000,-19.043,0.000,-14.160,0.000
1742954599.835,0.000,-20.996,0.000,-19.043,0.000
1742954599.839,0.000,-15.137,0.000,-20.020,0.000
1742954599.843,0.000,-15.625,0.000,-20.508,0.000
1742954599.847,0.000,-18.555,0.000,-20.996,0.000
1742954599.851,0.000,-18.066,0.000,-20.996,0.000
1742954599.855,0.000,-23.438,0.000,-20.996,0.000
1742954599.858,0.000,-31.738,0.000,-23.438,0.000
1742954599.862,0.000,-29.785,0.000,-23.926,0.000
1742954599.866,0.000,-30.273,0.000,-21.484,0.000
1742954599.870,0.000,-36.621,0.000,-22.461,0.000
1742954599.874,0.000,-31.738,0.000,-25.879,0.000
1742954599.878,-23.438,-27.344,-25.879,-24.414,0.000
1742954599.882,-23.438,-30.273,-29.297,-18.555,0.000
1742954599.886,-21.484,-29.297,-35.156,-19.043,0.000
1742954599.890,-20.508,-27.344,-40.527,-27.344,0.000
1742954599.894,-20.996,-30.273,-41.016,-27.832,0.000
1742954599.898,-25.879,-25.879,-39.062,-26.367,0.000
1742954599.901,-34.180,-25.879,-38.086,-26.855,0.000
1742954599.905,-38.574,-22.949,-36.133,-25.391,0.000
1742954599.909,-41.504,-20.508,-33.203,-25.879,0.000
1742954599.913,-44.434,-32.227,-32.715,-24.902,0.000
1742954599.917,-36.621,-32.227,-31.250,-24.902,0.000
1742954599.921,-25.879,-23.926,-28.809,-26.367,0.000
1742954599.925,-20.508,-19.531,-31.738,-25.391,0.000
1742954599.929,-20.508,-20.996,-36.621,-28.320,0.000
1742954599.933,-17.090,-23.438,-30.762,-30.273,0.000
1742954599.937,-17.090,-20.996,-19.043,-23.926,0.000
1742954599.940,-16.602,-22.949,-19.531,-19.531,0.000
1742954599.944,-17.090,-20.996,-20.508,-17.578,0.000
1742954599.948,-22.949,-23.438,-23.438,-15.625,0.000
1742954599.952,-15.625,-35.156,-21.973,-16.602,0.000
1742954599.956,-2.930,-29.297,-16.113,-16.113,0.000
1742954599.960,-5.371,-19.043,-20.020,-19.043,0.000
1742954599.964,-7.812,-15.625,-24.902,-19.043,0.000
1742954599.968,-7.324,-22.461,-27.832,-21.973,0.000
1742954599.972,-13.184,-32.715,-30.273,-26.855,0.000
1742954599.976,-15.137,-34.180,-27.832,-20.020,0.000
