timestamps,TP9,AF7,AF8,TP10,Right AUX
1742957662.269,-4.395,-31.250,-18.555,-3.906,0.000
1742957662.273,-9.766,-27.832,-21.484,-13.672,0.000
1742957662.277,-11.719,-31.250,-19.043,-12.695,0.000
1742957662.280,-9.766,-32.715,-16.113,-7.812,0.000
1742957662.284,-6.348,-32.715,-14.160,-1.465,0.000
1742957662.288,-9.766,-33.691,-18.555,-3.418,0.000
1742957662.292,-11.230,-34.668,-25.391,-15.137,0.000
1742957662.296,-10.254,-35.645,-24.414,-15.137,0.000
1742957662.300,-8.789,-33.691,-17.578,-10.742,0.000
1742957662.304,-5.371,-29.297,-14.160,-14.648,0.000
1742957662.308,-10.742,-32.227,-19.043,-18.066,0.000
1742957662.312,-15.625,-37.109,-23.438,-18.555,0.000
1742957662.316,-10.254,-33.203,-20.996,-13.672,0.000
1742957662.319,-9.277,-34.668,-21.973,-14.160,0.000
1742957662.323,-17.578,-39.062,-22.461,-21.484,0.000
1742957662.327,-22.949,-36.621,-22.461,-21.484,0.000
1742957662.331,-22.949,-36.133,-21.484,-25.391,0.000
1742957662.335,-15.137,-34.668,-21.484,-24.414,0.000
1742957662.339,-14.160,-34.180,-27.832,-20.508,0.000
1742957662.343,-24.414,-37.109,-30.762,-20.996,0.000
1742957662.347,-25.391,-37.109,-25.879,-18.066,0.000
1742957662.351,-22.461,-33.203,-28.320,-15.625,0.000
1742957662.355,-19.043,-26.367,-27.344,-14.160,0.000
1742957662.359,-22.461,-27.832,-27.832,-16.602,0.000
1742957662.362,-26.367,-34.180,-37.109,-23.438,0.000
1742957662.366,-23.926,-33.691,-35.156,-23.438,0.000
1742957662.370,-14.160,-30.273,-23.926,-19.531,0.000
1742957662.374,-23.438,-30.273,-30.762,-23.926,0.000
1742957662.378,-37.598,-27.832,-34.668,-31.250,0.000
1742957662.382,-20.020,-27.832,-31.250,-29.785,0.000
1742957662.386,-11.230,-28.320,-35.645,-20.508,0.000
1742957662.390,-24.414,-28.809,-37.109,-25.391,0.000
1742957662.394,-28.320,-31.738,-32.227,-25.879,0.000
1742957662.398,-20.996,-29.297,-34.668,-20.996,0.000
1742957662.402,-14.648,-24.414,-37.598,-17.578,0.000
1742957662.405,-17.090,-27.344,-34.668,-19.531,0.000
1742957662.409,-23.926,-28.809,-37.109,-30.762,0.000
1742957662.413,-25.879,-28.809,-36.133,-36.133,0.000
1742957662.417,-23.438,-30.762,-31.250,-32.715,0.000
1742957662.421,-25.879,-28.809,-30.273,-32.227,0.000
1742957662.425,-30.762,-26.367,-27.832,-38.086,0.000
1742957662.429,-27.832,-25.391,-22.949,-32.715,0.000
1742957662.433,-19.043,-26.855,-24.902,-30.762,0.000
1742957662.437,-16.113,-33.691,-25.879,-33.691,0.000
1742957662.441,-30.273,-40.039,-28.809,-33.203,0.000
1742957662.444,-36.621,-39.551,-34.180,-36.133,0.000
1742957662.448,-29.785,-34.180,-31.738,-32.227,0.000
1742957662.452,-23.438,-30.273,-29.785,-29.785,0.000
1742957662.456,-30.273,-30.762,0.000,-37.598,0.000
1742957662.460,-30.273,-26.367,0.000,-35.156,0.000
1742957662.464,-20.996,-22.949,0.000,-29.297,0.000
1742957662.468,-16.602,-28.809,0.000,-26.855,0.000
1742957662.472,-9.766,-27.344,0.000,-23.438,0.000
1742957662.476,-2.930,-20.020,0.000,-19.531,0.000
1742957662.480,-18.066,-22.461,0.000,-23.926,0.000
1742957662.484,-35.645,-28.809,0.000,-34.668,0.000
1742957662.487,-30.762,-26.367,0.000,-30.762,0.000
1742957662.491,-26.367,-22.949,0.000,-25.879,0.000
1742957662.495,-32.227,-30.273,0.000,-30.762,0.000
1742957662.499,-29.785,-29.297,0.000,-32.227,0.000
1742957662.503,-19.531,-23.438,-33.203,-30.762,0.000
1742957662.507,-20.020,-28.809,-36.621,-25.879,0.000
1742957662.511,-22.461,-28.320,-30.762,-22.461,0.000
1742957662.515,-17.090,-21.484,-27.832,-26.367,0.000
1742957662.519,-7.324,-21.484,-27.832,-27.344,0.000
1742957662.523,-1.465,-17.090,-28.809,-22.949,0.000
1742957662.527,-26.367,-27.344,-30.273,-25.879,0.000
1742957662.530,-25.879,-32.227,-27.344,-23.926,0.000
1742957662.534,-13.184,-18.555,-22.949,-22.949,0.000
1742957662.538,-25.391,-17.578,-23.438,-24.414,0.000
1742957662.542,-29.297,-23.438,-23.926,-24.414,0.000
1742957662.546,-34.180,-24.414,-30.273,-26.855,0.000
1742957662.550,-31.250,-25.879,-29.785,-21.973,0.000
1742957662.554,-24.414,-25.391,-22.949,-22.461,0.000
1742957662.558,-23.926,-27.344,-17.578,-21.973,0.000
1742957662.562,-25.391,-29.785,-21.484,-18.066,0.000
1742957662.566,-24.414,-31.250,-24.414,-23.926,0.000
1742957662.570,-24.902,-29.785,-20.996,-31.250,0.000
1742957662.573,-30.762,-31.250,-22.949,-28.320,0.000
1742957662.577,-34.180,-34.668,-20.020,-19.043,0.000
1742957662.581,-33.691,-28.320,-17.578,-14.160,0.000
1742957662.585,-33.203,-29.297,-20.508,-15.137,0.000
1742957662.589,-31.250,-32.227,-19.043,-15.625,0.000
1742957662.593,-35.156,-28.320,-19.043,-12.207,0.000
1742957662.597,-33.203,-33.691,-24.902,-20.996,0.000
1742957662.601,-31.738,-41.016,-22.949,-32.227,0.000
1742957662.605,-30.762,-37.109,-18.066,-26.367,0.000
1742957662.609,-32.715,-34.668,-20.996,-25.879,0.000
1742957662.612,-34.180,-35.645,-23.926,-31.250,0.000
1742957662.616,-29.785,-41.016,-21.484,-24.414,0.000
1742957662.620,-33.691,-45.410,-22.461,-22.461,0.000
1742957662.624,-36.621,-43.945,-24.902,-29.297,0.000
1742957662.628,-33.203,-35.156,-23.926,-31.250,0.000
1742957662.632,-27.832,-28.809,-27.344,-28.809,0.000
1742957662.636,-22.949,-27.344,-21.484,-25.391,0.000
1742957662.640,-25.879,-29.297,-17.578,-30.762,0.000
1742957662.644,-40.039,-34.668,-23.438,-36.621,0.000
1742957662.648,-38.574,-39.062,-24.414,-32.227,0.000
1742957662.652,-30.273,-35.156,-27.344,-34.668,0.000
1742957662.655,-40.039,-32.227,-23.926,-41.016,0.000
1742957662.659,-29.297,-34.180,-24.902,-41.992,0.000
1742957662.663,-29.785,-36.621,-25.391,-39.062,0.000
1742957662.667,-38.574,-35.156,-25.391,-36.621,0.000
1742957662.671,-35.156,-33.203,-31.250,-41.992,0.000
