timestamps,TP9,AF7,AF8,TP10,Right AUX
1742953889.024,-10.742,-31.738,-24.902,-30.273,0.000
1742953889.028,-13.184,-34.668,-23.438,-50.293,0.000
1742953889.032,-18.555,-34.668,-18.066,15.625,0.000
1742953889.036,-30.762,-31.738,-18.066,9.766,0.000
1742953889.040,-38.086,-35.645,-21.484,-94.238,0.000
1742953889.043,-17.090,-33.203,-23.926,-60.059,0.000
1742953889.047,-13.184,-37.109,-27.832,37.109,0.000
1742953889.051,-19.043,-48.340,-29.785,0.488,0.000
1742953889.055,-23.438,-41.504,-29.785,-63.477,0.000
1742953889.059,-28.320,-36.621,-29.785,-113.281,0.000
1742953889.063,-11.230,-35.645,-29.785,-30.762,0.000
1742953889.067,0.977,-29.297,-27.344,105.957,0.000
1742953889.067,0.977,-29.297,-27.344,105.957,0.000
1742953889.071,-14.160,-33.203,-28.320,-1.465,0.000
1742953889.075,-24.902,-35.645,-22.461,-128.906,0.000
1742953889.079,-20.508,-31.250,-20.996,-76.172,0.000
1742953889.083,-29.297,-32.715,-24.902,-22.461,0.000
1742953889.086,-24.902,-32.715,-20.508,-31.738,0.000
1742953889.090,-20.020,-28.320,-20.020,-45.410,0.000
1742953889.094,-22.949,-34.180,-25.391,-49.316,0.000
1742953889.098,-31.250,-47.363,-28.809,-104.492,0.000
1742953889.102,-35.645,-42.480,-24.902,-64.941,0.000
1742953889.106,-19.043,-32.227,-20.020,-18.066,0.000
1742953889.110,-20.020,-29.297,-24.902,-77.637,0.000
1742953889.114,-16.113,-28.809,-22.461,-28.809,0.000
1742953889.118,-8.789,-30.762,-15.137,18.066,0.000
1742953889.122,-11.230,-30.762,-17.090,-19.043,0.000
1742953889.126,1.953,-30.273,-19.043,-20.020,0.000
1742953889.129,-1.953,-34.668,-19.531,-44.434,0.000
1742953889.133,-21.484,-39.062,-22.949,-18.555,0.000
1742953889.137,-13.672,-33.691,-22.949,90.820,0.000
1742953889.141,-14.648,-37.598,-25.879,18.066,0.000
1742953889.145,-36.133,-48.340,-29.785,-128.418,0.000
1742953889.149,-31.738,-41.992,-29.785,-15.625,0.000
1742953889.153,-25.879,-39.551,-30.762,20.020,0.000
1742953889.157,-30.273,-41.504,-24.414,-99.609,0.000
1742953889.161,-31.250,-36.133,-21.973,-167.480,0.000
1742953889.165,-12.695,-29.785,-25.391,-72.754,0.000
1742953889.168,-12.695,-27.344,-26.855,38.574,0.000
1742953889.172,-25.879,-28.320,-27.832,-25.391,0.000
1742953889.176,-22.461,-32.227,-29.785,-104.004,0.000
1742953889.180,-11.230,-32.227,-28.809,-29.785,0.000
1742953889.184,-8.789,-27.832,-20.020,104.004,0.000
1742953889.188,-32.715,-35.156,-27.832,-49.316,0.000
1742953889.192,-41.992,-39.062,-36.133,-247.559,0.000
1742953889.196,-35.645,-36.621,-35.645,-161.133,0.000
1742953889.200,-27.344,-36.133,-36.133,-0.977,0.000
1742953889.204,-15.137,-37.598,-31.738,23.438,0.000
1742953889.208,-20.508,-33.691,-31.250,-46.875,0.000
1742953889.211,-24.414,-33.203,-36.133,-47.363,0.000
1742953889.215,-14.648,-36.133,-34.180,27.344,0.000
1742953889.219,-7.324,-31.738,-33.691,44.434,0.000
1742953889.223,-17.578,-32.715,-33.691,-34.180,0.000
1742953889.227,-27.832,-39.062,-33.691,-31.738,0.000
1742953889.231,-8.789,-38.574,-39.062,50.781,0.000
1742953889.235,-6.836,-45.410,-45.410,31.250,0.000
1742953889.239,-37.109,-46.875,-45.410,-66.895,0.000
1742953889.243,-47.852,-48.340,-48.340,-132.812,0.000
1742953889.247,-44.434,-56.152,-54.688,-101.562,0.000
1742953889.250,-28.320,-48.828,-49.316,-2.441,0.000
1742953889.254,-22.461,-41.016,-41.016,-14.160,0.000
1742953889.258,-28.320,-49.805,-43.945,-121.094,0.000
1742953889.262,-24.902,-53.223,-41.016,-115.723,0.000
1742953889.266,-26.855,-45.898,-33.203,-3.418,0.000
1742953889.270,-28.320,-45.898,-30.762,32.227,0.000
1742953889.274,-35.156,-52.734,-32.715,-62.500,0.000
1742953889.278,-34.180,-45.898,-32.715,-14.648,0.000
1742953889.282,-31.738,-44.434,-32.227,47.852,0.000
1742953889.286,-29.785,-48.340,-30.762,-25.879,0.000
1742953889.290,-34.668,-45.898,-31.738,-78.613,0.000
1742953889.293,-36.621,-45.410,-38.574,-62.988,0.000
1742953889.297,-29.297,-45.410,-40.039,-11.230,0.000
1742953889.301,-40.527,-41.504,-37.598,-3.906,0.000
1742953889.305,-50.781,-38.086,-37.598,-82.520,0.000
1742953889.309,-46.875,-41.504,-42.480,-175.781,0.000
1742953889.313,-38.574,-43.945,-40.527,-126.465,0.000
1742953889.317,-19.043,-39.062,-36.133,-11.719,0.000
1742953889.321,-16.602,-39.062,-36.621,-6.348,0.000
1742953889.325,-30.762,-36.621,-37.598,-23.438,0.000
1742953889.329,-27.344,-34.668,-42.969,-34.668,0.000
1742953889.333,-16.113,-39.551,-44.434,-56.152,0.000
1742953889.336,-14.160,-41.992,-43.945,-16.602,0.000
1742953889.340,-32.715,-45.410,-41.016,-63.965,0.000
1742953889.344,-50.293,-46.387,-39.062,-148.438,0.000
1742953889.348,-33.203,-39.062,-39.551,-14.648,0.000
1742953889.352,-17.090,-37.598,-41.992,95.215,0.000
1742953889.356,-41.992,-46.387,-48.828,-103.027,0.000
1742953889.360,-48.828,-45.898,-49.805,-211.426,0.000
1742953889.364,-30.762,-42.969,-49.805,-105.957,0.000
1742953889.368,-28.809,-47.852,-48.340,19.043,0.000
1742953889.372,-29.785,-42.480,-47.852,69.824,0.000
1742953889.375,-41.992,-41.992,-50.781,-39.062,0.000
1742953889.379,-38.086,-50.781,-50.781,-140.625,0.000
1742953889.383,-20.508,-54.688,-49.805,-54.688,0.000
1742953889.387,-32.227,-54.688,-48.340,7.812,0.000
1742953889.391,-39.551,-53.711,-49.316,-64.453,0.000
1742953889.395,-32.715,-50.293,-50.293,-101.562,0.000
1742953889.399,-20.020,-43.457,-43.457,-0.488,0.000
1742953889.403,-10.254,-41.992,-38.086,26.367,0.000
1742953889.407,-9.766,-43.945,-40.039,-36.621,0.000
1742953889.411,-27.344,-42.969,-42.969,-55.176,0.000
1742953889.415,-28.320,-42.480,-37.598,-58.594,0.000
1742953889.418,-2.441,-35.645,-32.715,45.898,0.000
1742953889.422,-5.859,-37.109,-36.621,49.805,0.000
1742953889.426,-35.645,-50.781,-39.551,-162.109,0.000
1742953889.430,-28.809,-46.387,-36.133,-131.836,0.000
1742953889.434,-3.906,-40.039,-31.738,13.672,0.000
1742953889.438,-20.996,-43.945,-31.738,-43.457,0.000
1742953889.442,-32.227,-39.551,-30.273,-143.555,0.000
1742953889.446,0.000,-35.156,-28.320,-113.281,0.000
1742953889.450,0.000,-38.086,-27.832,1.465,0.000
1742953889.454,0.000,-39.062,-28.320,6.348,0.000
1742953889.458,0.000,-41.504,-31.250,-89.355,0.000
1742953889.461,0.000,-42.480,-37.598,-96.191,0.000
1742953889.465,0.000,-39.551,-37.109,65.430,0.000
1742953889.469,0.000,-43.945,-32.227,106.445,0.000
1742953889.473,0.000,-51.270,-32.715,-134.277,0.000
1742953889.477,0.000,-51.270,-35.645,-217.773,0.000
1742953889.481,0.000,-44.922,-35.156,-65.430,0.000
1742953889.485,0.000,-46.875,-37.109,-16.602,0.000
1742953889.489,0.000,-44.922,-35.156,-41.504,0.000
1742953889.493,-33.691,-46.387,-32.715,-86.914,0.000
1742953889.497,-35.156,-45.898,-36.133,-69.336,0.000
1742953889.500,-12.695,-40.039,-35.645,45.898,0.000
1742953889.504,-33.691,-38.086,-31.738,41.016,0.000
1742953889.508,-45.410,-37.598,-32.715,-80.078,0.000
1742953889.512,-22.461,-35.645,-35.156,-10.254,0.000
1742953889.516,-18.066,-37.109,-33.691,70.312,0.000
1742953889.520,-20.508,-33.203,-32.715,-24.414,0.000
1742953889.524,-25.879,-30.273,-32.227,-104.004,0.000
1742953889.528,-18.555,-30.762,-32.227,-147.949,0.000
1742953889.532,-11.230,-21.973,-28.809,-37.109,0.000
1742953889.536,-21.484,-20.508,-24.902,25.391,0.000
1742953889.540,-12.695,-21.484,-25.391,-53.223,0.000
1742953889.543,-1.465,-12.695,-19.531,-74.219,0.000
1742953889.547,4.395,-12.695,-18.555,3.418,0.000
1742953889.551,-2.441,-23.926,-24.414,57.617,0.000
1742953889.555,-13.184,-28.809,-21.973,-17.090,0.000
1742953889.559,-12.695,-28.809,-20.996,-59.570,0.000
1742953889.563,-18.555,-31.738,-23.438,-48.340,0.000
1742953889.567,-13.184,-29.785,-21.484,-39.551,0.000
1742953889.571,-12.207,-27.832,-23.926,-18.555,0.000
1742953889.575,-13.184,-26.367,-29.297,-51.758,0.000
1742953889.579,-4.883,-22.461,-28.320,-22.949,0.000
1742953889.583,1.465,-23.926,-24.902,35.645,0.000
1742953889.586,-11.230,-29.785,-24.902,-1.465,0.000
1742953889.590,-26.367,-35.645,-23.438,-104.980,0.000
1742953889.594,-20.508,-35.156,-22.949,-148.926,0.000
1742953889.598,-3.906,-31.250,-20.508,-49.805,0.000
1742953889.602,-22.461,-39.062,-20.996,11.719,0.000
1742953889.606,-19.043,-41.504,-18.555,8.301,0.000
1742953889.610,-18.555,-44.434,-17.090,-102.051,0.000
1742953889.614,-18.555,-44.434,-25.879,-160.156,0.000
1742953889.618,-1.953,-38.086,-32.227,-48.828,0.000
1742953889.622,7.324,-35.156,-28.809,-13.672,0.000
1742953889.625,-12.695,-31.738,-22.461,-57.129,0.000
1742953889.629,-29.785,-36.621,-22.461,-74.219,0.000
1742953889.633,-17.090,-38.086,-21.973,32.227,0.000
1742953889.637,-13.184,-36.621,-28.320,32.227,0.000
1742953889.641,-19.531,-35.645,-33.203,-98.145,0.000
1742953889.645,-15.625,-37.109,-30.273,-106.934,0.000
1742953889.649,0.000,-38.574,-34.180,-34.180,0.000
1742953889.653,-8.789,-35.645,-33.203,75.684,0.000
1742953889.657,-38.574,-39.551,-35.156,-32.715,0.000
1742953889.661,-42.480,-41.016,-36.133,-186.035,0.000
1742953889.665,-28.320,-38.086,-34.180,-85.449,0.000
1742953889.668,-20.508,-40.039,-34.668,30.762,0.000
1742953889.672,-16.602,-45.410,-38.086,-24.414,0.000
