timestamps,TP9,AF7,AF8,TP10,Right AUX
1742957906.745,-41.504,-33.691,-34.180,-34.180,0.000
1742957906.749,-40.527,-23.926,-34.180,-35.156,0.000
1742957906.753,-29.785,-30.273,-36.621,-36.621,0.000
1742957906.757,-31.738,-31.250,-37.598,-39.551,0.000
1742957906.761,-41.504,-30.273,-38.574,-40.527,0.000
1742957906.764,-30.273,-22.949,-37.598,-31.250,0.000
1742957906.768,-25.391,-15.625,-30.762,-25.879,0.000
1742957906.772,-29.297,-21.484,-26.855,-22.949,0.000
1742957906.776,-26.855,-20.020,-33.203,-24.902,0.000
1742957906.780,-31.250,-27.832,-41.992,-30.762,0.000
1742957906.784,-32.715,-36.621,-41.992,-30.762,0.000
1742957906.788,-32.715,-32.227,-38.086,-27.832,0.000
1742957906.792,-27.344,-27.832,-38.086,-28.320,0.000
1742957906.796,-21.484,-22.949,-35.156,-30.762,0.000
1742957906.800,-16.113,-19.043,-32.227,-29.297,0.000
1742957906.804,-20.996,-19.531,-34.668,-31.738,0.000
1742957906.807,-26.367,-27.344,-36.133,-35.156,0.000
1742957906.811,-15.137,-26.855,-37.109,-35.645,0.000
1742957906.815,-15.137,-21.484,-35.156,-34.180,0.000
1742957906.819,-21.484,-23.926,-34.180,-34.180,0.000
1742957906.823,-21.973,-23.438,-31.738,-28.320,0.000
1742957906.827,-24.902,-26.367,-29.297,-30.762,0.000
1742957906.831,-25.879,-30.762,-27.344,-39.062,0.000
1742957906.835,-26.855,-30.273,-23.438,-34.668,0.000
1742957906.839,-32.715,-30.273,-24.902,-34.668,0.000
1742957906.843,-29.785,-28.809,-25.391,-32.715,0.000
1742957906.846,-20.020,-26.367,-21.973,-26.367,0.000
1742957906.850,-21.484,-32.227,-18.066,-22.949,0.000
1742957906.854,-27.344,-36.621,-15.625,-19.531,0.000
1742957906.858,-32.715,-34.180,-19.043,-17.578,0.000
1742957906.862,-32.715,-31.738,-20.020,-15.625,0.000
1742957906.866,-28.809,-37.109,-21.484,-15.625,0.000
1742957906.870,-37.109,-37.109,-28.809,-21.973,0.000
1742957906.874,-36.621,-36.621,-27.832,-25.391,0.000
1742957906.878,-37.598,-34.668,-26.855,-27.344,0.000
1742957906.882,-43.945,-31.738,-31.250,-29.785,0.000
1742957906.886,-41.504,-38.086,-31.738,-33.203,0.000
1742957906.889,-36.621,-41.992,-32.227,-34.180,0.000
