timestamps,TP9,AF7,AF8,TP10,Right AUX
1742683912.758,-121.582,-25.391,-34.180,9.766,0.000
1742683912.761,999.512,45.898,26.367,999.512,0.000
1742683912.765,191.406,-46.875,-17.090,94.238,0.000
1742683912.769,-1000.000,-128.418,-83.008,-1000.000,0.000
1742683912.773,-277.344,-53.711,-50.293,-373.047,0.000
1742683912.777,999.512,64.453,25.391,999.512,0.000
1742683912.781,334.961,13.672,-6.836,480.957,0.000
1742683912.785,-1000.000,-116.699,-84.473,-1000.000,0.000
1742683912.789,-623.535,-94.238,-67.871,-667.480,0.000
1742683912.793,971.680,25.391,0.000,825.684,0.000
1742683912.797,786.621,28.320,4.395,815.430,0.000
1742683912.801,-758.789,-89.844,-57.617,-599.121,0.000
1742683912.804,-1000.000,-115.234,-81.543,-1000.000,0.000
1742683912.808,276.855,0.488,-11.230,311.035,0.000
1742683912.812,999.512,58.105,35.156,999.512,0.000
1742683912.816,-77.148,-40.039,-32.715,-130.859,0.000
1742683912.820,-1000.000,-120.117,-89.355,-1000.000,0.000
1742683912.824,-181.152,-25.391,-37.598,-76.172,0.000
1742683912.828,999.512,65.918,24.414,999.512,0.000
1742683912.832,229.980,-30.762,-8.301,193.848,0.000
1742683912.836,-1000.000,-125.977,-79.590,-1000.000,0.000
1742683912.840,-287.598,-48.340,-71.777,-362.305,0.000
1742683912.844,999.512,62.500,13.672,999.512,0.000
1742683912.847,352.539,21.484,27.344,441.406,0.000
1742683912.851,-1000.000,-100.586,-52.246,-969.727,0.000
1742683912.855,-698.730,-92.285,-69.336,-735.840,0.000
1742683912.859,869.141,23.438,10.742,728.516,0.000
1742683912.863,954.102,42.480,23.438,890.137,0.000
1742683912.867,-528.809,-60.059,-48.828,-484.863,0.000
1742683912.871,-1000.000,-105.469,-93.262,-1000.000,0.000
1742683912.875,180.664,-9.277,-26.855,202.637,0.000
1742683912.879,999.512,65.918,42.969,999.512,0.000
1742683912.883,71.289,-23.926,-19.043,-37.109,0.000
1742683912.886,-1000.000,-122.070,-87.402,-1000.000,0.000
1742683912.890,-234.375,-56.641,-38.086,-163.574,0.000
1742683912.894,999.512,56.641,35.156,999.512,0.000
1742683912.898,240.723,2.930,-3.418,294.434,0.000
