timestamps,TP9,AF7,AF8,TP10,Right AUX
1742681884.395,-89.355,-137.207,-192.871,-158.691,0.000
1742681884.399,-21.484,-43.457,-11.719,-36.621,0.000
1742681884.403,27.344,64.453,159.180,106.445,0.000
1742681884.407,-23.438,-16.602,-5.371,-5.859,0.000
1742681884.411,-73.730,-132.812,-197.754,-165.039,0.000
1742681884.414,-50.293,-67.383,-66.895,-91.797,0.000
1742681884.418,5.371,72.754,143.555,77.148,0.000
1742681884.422,-1.953,28.320,62.012,29.785,0.000
1742681884.426,-71.289,-117.188,-170.898,-150.391,0.000
1742681884.430,-73.730,-105.957,-133.789,-128.906,0.000
1742681884.434,-9.277,31.738,105.469,60.547,0.000
1742681884.438,0.977,52.734,121.094,79.590,0.000
1742681884.442,-53.711,-72.266,-106.934,-97.168,0.000
1742681884.446,-79.590,-114.258,-184.082,-159.668,0.000
1742681884.450,-12.207,6.836,28.320,3.418,0.000
1742681884.454,15.625,72.754,141.602,92.773,0.000
1742681884.458,-47.363,-41.504,-47.363,-58.594,0.000
1742681884.461,-83.008,-128.418,-194.824,-175.781,0.000
1742681884.465,-32.227,-35.645,-22.461,-36.133,0.000
1742681884.469,20.020,60.059,156.738,103.516,0.000
1742681884.473,-20.508,-7.812,7.324,-3.906,0.000
1742681884.477,-79.102,-127.441,-199.219,-169.922,0.000
1742681884.481,-57.617,-92.773,-94.238,-98.145,0.000
1742681884.485,3.418,41.504,125.977,83.984,0.000
1742681884.489,-3.418,30.273,75.684,57.129,0.000
1742681884.493,-70.801,-95.215,-147.949,-130.371,0.000
1742681884.497,-65.918,-107.910,-140.137,-145.996,0.000
1742681884.501,2.930,13.184,82.031,44.434,0.000
1742681884.504,11.230,50.781,116.699,85.938,0.000
1742681884.508,-52.734,-60.547,-99.121,-84.473,0.000
1742681884.512,-74.707,-126.465,-195.312,-161.133,0.000
1742681884.516,-3.906,-25.391,2.930,-13.672,0.000
1742681884.520,23.438,58.594,138.672,93.262,0.000
1742681884.524,-40.527,-42.480,-35.645,-38.574,0.000
1742681884.528,-93.750,-141.113,-201.660,-168.457,0.000
1742681884.532,-46.387,-55.176,-58.105,-50.781,0.000
1742681884.536,22.461,59.082,131.836,100.098,0.000
1742681884.540,-9.766,5.859,35.156,12.207,0.000
1742681884.543,-70.312,-115.723,-173.828,-160.645,0.000
1742681884.547,-49.316,-86.914,-108.887,-114.746,0.000
1742681884.551,14.160,46.387,117.188,82.520,0.000
1742681884.555,-11.230,48.828,92.285,77.637,0.000
1742681884.559,-62.988,-83.984,-133.301,-136.230,0.000
1742681884.563,-58.105,-120.117,-158.691,-178.223,0.000
1742681884.567,0.000,-1.953,64.453,6.348,0.000
1742681884.571,14.648,47.852,128.418,72.266,0.000
1742681884.575,-51.758,-62.988,-80.566,-81.543,0.000
1742681884.579,-78.613,-133.301,-186.523,-165.039,0.000
1742681884.583,-13.184,-28.320,8.301,-22.461,0.000
1742681884.586,34.668,70.801,159.668,102.051,0.000
1742681884.590,-13.184,-21.484,-7.324,-18.555,0.000
1742681884.594,-75.195,-142.090,-199.707,-167.480,0.000
1742681884.598,-46.387,-75.195,-70.312,-56.152,0.000
1742681884.602,15.137,56.152,150.879,102.051,0.000
1742681884.606,-18.555,16.113,60.547,16.602,0.000
1742681884.610,-72.266,-129.883,-168.945,-160.645,0.000
1742681884.614,-43.945,-106.934,-122.559,-120.605,0.000
1742681884.618,18.555,36.621,97.168,65.918,0.000
1742681884.622,7.324,35.156,91.797,69.824,0.000
1742681884.625,-53.223,-98.633,-134.277,-112.793,0.000
1742681884.629,-57.617,-122.559,-178.223,-153.320,0.000
1742681884.633,2.441,8.789,51.758,14.648,0.000
1742681884.637,24.414,57.129,131.836,76.172,0.000
1742681884.641,-34.180,-64.941,-77.148,-72.754,0.000
1742681884.645,-69.336,-147.461,-201.660,-177.734,0.000
1742681884.649,-9.766,-33.691,-15.625,-29.785,0.000
1742681884.653,32.227,72.754,150.879,118.652,0.000
1742681884.657,-20.996,-18.555,-20.996,-6.348,0.000
1742681884.661,-76.172,-140.625,-223.145,-176.270,0.000
1742681884.664,-42.480,-83.984,-84.473,-98.633,0.000
1742681884.668,13.184,42.480,126.953,72.266,0.000
1742681884.672,-7.812,17.578,46.875,30.273,0.000
1742681884.676,-71.289,-104.492,-168.945,-146.973,0.000
1742681884.680,-59.570,-101.562,-137.207,-134.766,0.000
1742681884.684,-1.953,25.391,96.680,54.688,0.000
1742681884.688,2.930,46.387,118.164,90.820,0.000
1742681884.692,-39.551,-81.055,-114.746,-92.285,0.000
1742681884.696,-57.129,-118.652,-189.453,-163.574,0.000
1742681884.700,-2.930,6.348,26.367,20.508,0.000
1742681884.704,31.738,70.801,126.465,92.773,0.000
1742681884.707,-21.484,-40.527,-67.383,-72.754,0.000
1742681884.711,-63.477,-142.578,-206.543,-174.316,0.000
1742681884.715,-17.090,-57.617,-38.086,-40.039,0.000
1742681884.719,30.273,55.176,145.020,107.910,0.000
1742681884.723,0.977,-4.883,8.789,11.230,0.000
1742681884.727,-53.711,-119.141,-207.031,-158.691,0.000
1742681884.731,-25.391,-76.660,-93.750,-96.191,0.000
1742681884.735,32.715,43.457,134.277,87.402,0.000
1742681884.739,7.812,21.973,76.172,73.730,0.000
1742681884.743,-53.223,-93.262,-138.672,-111.816,0.000
1742681884.747,-47.852,-91.797,-134.277,-126.953,0.000
1742681884.750,13.184,22.949,78.613,52.246,0.000
1742681884.754,15.137,50.781,113.281,75.684,0.000
1742681884.758,-49.805,-70.312,-105.469,-102.051,0.000
1742681884.762,-79.102,-133.301,-190.918,-168.945,0.000
1742681884.766,-21.484,-20.508,21.484,-8.789,0.000
1742681884.770,19.531,65.918,146.973,102.539,0.000
1742681884.774,-36.133,-30.273,-35.645,-29.785,0.000
1742681884.778,-76.660,-131.348,-200.195,-157.227,0.000
1742681884.782,-30.273,-48.828,-49.805,-45.410,0.000
1742681884.786,24.414,63.965,150.879,93.750,0.000
1742681884.790,-6.836,11.719,39.062,11.230,0.000
1742681884.793,-66.406,-108.887,-179.199,-161.133,0.000
1742681884.797,-42.969,-83.008,-107.910,-112.305,0.000
1742681884.801,19.043,35.645,109.863,77.148,0.000
1742681884.805,13.184,23.926,79.102,62.988,0.000
1742681884.809,-54.199,-102.051,-143.066,-118.164,0.000
1742681884.813,-51.758,-106.934,-157.715,-129.395,0.000
1742681884.817,16.113,33.203,70.801,57.129,0.000
1742681884.821,23.438,71.777,124.023,103.516,0.000
1742681884.825,-38.086,-50.781,-91.797,-74.707,0.000
1742681884.829,-71.289,-119.141,-199.707,-166.504,0.000
1742681884.833,-16.113,-9.766,0.000,-8.301,0.000
1742681884.836,35.645,87.891,148.438,117.676,0.000
1742681884.840,-15.625,-3.418,-26.855,-1.953,0.000
1742681884.844,-64.453,-130.371,-214.844,-144.531,0.000
1742681884.848,-24.902,-67.383,-73.730,-49.316,0.000
1742681884.852,32.715,59.082,137.695,105.469,0.000
1742681884.856,3.418,22.461,42.480,34.668,0.000
1742681884.860,-61.523,-99.609,-177.246,-141.602,0.000
1742681884.864,-34.668,-75.684,-126.465,-105.469,0.000
1742681884.868,36.621,53.223,106.934,84.961,0.000
1742681884.872,25.879,59.082,102.051,83.496,0.000
1742681884.875,-50.781,-70.801,-125.977,-96.191,0.000
1742681884.879,-61.035,-109.863,-162.598,-134.277,0.000
1742681884.883,-1.953,18.555,61.523,30.273,0.000
1742681884.887,15.625,77.148,135.742,94.727,0.000
1742681884.891,-43.945,-48.340,-78.125,-70.312,0.000
1742681884.895,-82.031,-138.184,-203.613,-176.758,0.000
1742681884.899,-27.344,-39.062,-10.742,-29.297,0.000
1742681884.903,21.973,65.430,159.180,111.328,0.000
1742681884.907,-23.926,-15.625,-6.836,-1.465,0.000
1742681884.911,-79.102,-127.930,-210.449,-164.551,0.000
1742681884.915,-48.828,-69.336,-83.984,-74.707,0.000
1742681884.918,10.254,52.734,128.906,96.191,0.000
1742681884.922,-8.301,21.484,47.852,26.367,0.000
1742681884.926,-69.824,-109.375,-174.316,-150.391,0.000
1742681884.930,-45.410,-92.773,-134.277,-111.328,0.000
1742681884.934,20.508,42.969,95.215,53.711,0.000
1742681884.938,6.836,42.969,95.215,59.570,0.000
1742681884.942,-62.012,-92.773,-128.418,-103.516,0.000
1742681884.946,-62.988,-121.582,-178.223,-152.344,0.000
1742681884.950,1.953,3.418,39.551,32.227,0.000
1742681884.954,21.484,61.523,136.230,120.117,0.000
1742681884.958,-20.996,-39.551,-65.430,-38.086,0.000
1742681884.961,-57.617,-128.418,-212.891,-165.527,0.000
1742681884.965,-18.555,-41.992,-29.785,-49.316,0.000
1742681884.969,31.738,68.848,148.926,91.309,0.000
1742681884.973,-4.395,-0.977,4.395,6.348,0.000
1742681884.977,-66.895,-112.305,-189.453,-135.254,0.000
